,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,"""Das",0.25,0,0,4,0,0,0,0,0,0,0,0,14,29,69,0,1
1,stimmt,0.0,0,0,6,0,0,0,0,0,0,0,0,14,5,69,0,1
2,doch,0.0,0,0,4,0,0,0,0,0,0,0,0,14,5,69,0,1
3,hinten,0.0,0,0,6,0,0,0,0,0,0,0,0,14,5,69,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,14,6,69,0,1
5,vorne,0.0,0,0,5,0,0,0,0,0,0,0,0,14,5,69,0,1
6,"nicht!""",0.0,0,0,7,0,0,0,0,0,0,0,0,14,6,69,0,1
7,Begründung,0.1,1,0,10,0,0,0,0,0,0,0,0,14,29,28,0,1
8,und,0.0,0,0,3,0,0,0,0,0,0,0,0,14,6,28,0,1
9,Überprüfung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,14,5,28,0,1
10,von,0.0,0,0,3,0,0,0,0,0,0,0,0,14,7,28,0,1
11,Verdacht,0.125,1,0,8,0,0,0,0,0,0,0,0,14,6,28,0,1
12,am,0.0,0,0,2,0,0,0,0,0,0,0,0,14,7,28,0,1
13,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,14,29,29,0,1
14,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,14,6,29,0,1
15,Mordermittlung1,0.06666666666666667,1,0,15,1,0,0,0,0,0,0,0,14,5,29,0,1
16,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,12,29,128,0,0
17,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,4,128,0,0
18,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,29,27,0,0
19,Essen,0.2,1,0,5,0,0,0,0,0,0,0,0,12,5,27,0,0
20,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,29,197,0,0
21,74jährige,0.0,0,0,9,2,0,0,0,0,0,0,0,10,3,197,0,0
22,Willi,0.2,1,0,5,0,0,0,0,0,0,0,0,10,4,197,0,0
23,Neff,0.25,1,0,4,0,0,0,0,0,0,0,0,10,2,197,0,0
24,(Hobbybastler,0.07692307692307693,0,0,13,0,0,0,0,0,0,0,0,10,3,197,0,0
