,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,I.,0.5,1,0,2,0,0,0,0,0,0,0,0,10,146,66,0,1
1,Abhandlungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,6,66,0,1
2,VERSTEHENDE,1.0,1,0,11,0,0,0,0,0,0,0,0,8,82,103,0,0
3,SOZIOLOGIE,1.0,1,0,10,0,0,0,0,0,0,0,0,8,4,103,0,0
4,OHNE,1.0,1,0,4,0,0,0,0,0,0,0,0,8,3,103,0,0
5,SUBJEKT?,0.875,1,0,8,0,0,0,0,0,0,0,0,8,4,103,0,0
6,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,71,127,0,0
7,objektive,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,127,0,0
8,Hermeneutik,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,127,0,0
9,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,127,0,0
10,Metaphysik,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,127,0,0
11,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,127,0,0
12,Strukturen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,127,0,0
13,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,152,151,0,0
14,J,1.0,1,0,1,0,0,0,0,0,0,0,0,8,2,151,0,0
15,o,0.0,0,0,1,0,0,0,0,0,0,0,0,8,1,151,0,0
16,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,151,0,0
17,„Wir,0.25,0,0,4,0,0,0,0,0,0,0,0,7,181,198,0,1
18,betrachten,0.0,0,0,10,0,0,0,0,0,0,0,0,7,3,198,0,1
19,Persönlichkeitsstrukturen,0.04,1,0,25,0,0,0,0,0,0,0,0,7,4,198,0,1
20,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,198,0,1
21,Nie-,0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,198,0,1
22,derschläge,0.0,0,0,10,0,0,0,0,0,0,0,0,7,181,17,0,1
23,sozialer,0.0,0,0,8,0,0,0,0,0,0,0,0,7,3,17,0,1
24,Strukturen,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,17,0,1
25,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,1
26,nichts,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,17,0,1
27,anderes.,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,17,0,1
28,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,181,17,0,1
29,Soziologie,0.1,1,0,10,0,0,0,0,0,0,0,0,7,4,17,0,1
30,fangt,0.0,0,0,5,0,0,0,0,0,0,0,0,7,4,17,0,1
31,erst,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,17,0,1
32,da,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,17,0,1
33,"an,",0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,1
34,wo,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,17,0,1
35,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,17,0,1
36,im,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,17,0,1
37,Prinzip,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,17,0,1
38,ohne,0.0,0,0,4,0,0,0,0,0,0,0,0,7,181,17,0,1
39,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,17,0,1
40,Subjekt,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,4,17,0,1
41,auskommen,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,17,0,1
42,"kann,",0.0,0,0,5,0,0,0,0,0,0,0,0,7,4,17,0,1
43,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,17,0,1
44,wo,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,17,0,1
45,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,17,0,1
46,ausschließlich,0.0,0,0,14,0,0,0,0,0,0,0,0,7,181,17,0,1
47,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,5,17,0,1
48,Subjektbegriff,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,5,17,0,1
49,anwendet,0.0,0,0,8,0,0,0,0,0,0,0,0,7,5,17,0,1
50,als,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,17,0,1
51,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,7,181,17,0,1
52,Derivat,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,17,0,1
53,sozialer,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,17,0,1
54,"Konstituierungsprozesse"".",0.04,1,0,25,0,0,0,0,0,0,0,0,7,2,17,0,1
55,(Oevermann,0.1,0,0,10,0,0,0,0,0,0,0,0,7,181,17,0,1
56,"1984a,",0.0,0,0,6,4,0,0,0,0,0,0,0,7,1,17,0,1
57,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,7,1,17,0,1
58,64),0.0,0,0,3,2,0,0,0,0,0,0,0,7,2,17,0,1
59,I,1.0,1,0,1,0,0,0,0,0,0,0,0,8,161,307,1,1
60,.,0.0,0,0,1,0,0,0,0,0,0,0,0,8,0,307,1,1
61,Einleitung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,307,1,1
62,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,13,330,0,0
63,Konzept,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,330,0,0
64,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,330,0,0
65,objektiven,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,330,0,0
66,"Hermeneutik,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,330,0,0
67,neuerdings,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,330,0,0
68,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,330,0,0
69,",strukturale",0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,330,0,0
70,Hermeneu-,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,330,0,0
71,tik',0.0,0,0,4,0,0,0,0,0,0,0,0,8,13,20,0,0
72,"genannt,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,20,0,0
73,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
74,-,0.0,0,0,1,0,0,0,0,0,0,0,0,5,4,20,0,0
75,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
76,meine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
77,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
78,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
