,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Stefan,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,15,71,1,0
1,H,1.0,1,0,1,0,0,0,0,0,0,0,0,9,3,71,1,0
2,o,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,71,1,0
3,r,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,71,1,0
4,n,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,71,1,0
5,b,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,71,1,0
6,o,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,71,1,0
7,s,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,71,1,0
8,t,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,71,1,0
9,e,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,71,1,0
10,l,0.0,0,0,1,0,0,0,0,0,0,0,0,9,0,71,1,0
11,Kein,0.25,1,0,4,0,0,0,0,0,0,0,0,10,15,100,0,0
12,Land,0.25,1,0,4,0,0,0,0,0,0,0,0,10,2,100,0,0
13,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,4,100,0,0
14,Sicht,0.2,1,0,5,0,0,0,0,0,0,0,0,10,3,100,0,0
15,-,0.0,0,0,1,0,0,0,0,0,0,0,0,7,2,100,0,0
16,Von,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,2,100,0,0
17,den,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,100,0,0
18,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,10,3,100,0,0
19,"Schwierigkeiten,",0.0625,1,0,16,0,0,0,0,0,0,0,0,10,3,100,0,0
20,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,10,15,24,0,0
21,Intellektueller,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,10,3,24,0,0
22,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,10,3,24,0,0
23,sein,0.0,0,0,4,0,0,0,0,0,0,0,0,10,3,24,0,0
24,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,8,156,154,0,0
25,lohnt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,154,0,0
26,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,154,0,0
