,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Development,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,19,43,116,0,1
1,of,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,116,0,1
2,Media,0.2,1,0,5,0,0,0,0,0,0,0,0,19,5,116,0,1
3,Research,0.125,1,0,8,0,0,0,0,0,0,0,0,19,5,116,0,1
4,in,0.0,0,0,2,0,0,0,0,0,0,0,0,19,5,116,0,1
5,Estonia,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,19,5,116,0,1
6,PEETER,1.0,1,0,6,0,0,0,0,0,0,0,0,11,192,157,0,0
7,VIHALEMM,1.0,1,0,8,0,0,0,0,0,0,0,0,11,4,157,0,0
8,Regular,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,42,218,0,0
9,empirical,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,218,0,0
10,media,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,218,0,0
11,research,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,218,0,0
12,began,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,218,0,0
13,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,218,0,0
14,Estonia,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,218,0,0
15,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,42,19,0,0
16,1965.,0.0,0,0,5,4,0,0,0,0,0,0,1,8,2,19,0,0
17,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
18,mid-1960s,0.0,0,0,9,4,0,0,0,0,0,0,0,8,2,19,0,0
19,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
20,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
21,period,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
22,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
23,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
24,birth,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
25,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,42,19,0,0
26,empirical,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
27,social,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
28,sciences,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
29,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
30,general,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
31,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
32,Estonia.,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
33,Although,0.125,1,0,8,0,0,0,0,0,0,0,0,8,42,19,0,0
34,some,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
35,successful,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
36,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
37,influential,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
38,attempts,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
39,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,42,19,0,0
40,empirical,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
41,social,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
42,research,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
43,were,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
44,made,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
45,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
46,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
47,late,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
48,1920s,0.0,0,0,5,4,0,0,0,0,0,0,0,8,42,19,0,0
49,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
50,"1930s,",0.0,0,0,6,4,0,0,0,0,0,0,0,8,2,19,0,0
51,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
52,tradition,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
53,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
54,regular,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
55,research,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
56,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,42,19,0,0
57,not,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
58,established,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
59,before,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
60,World,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
61,War,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
62,II.,0.6666666666666666,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
63,Until,0.2,1,0,5,0,0,0,0,0,0,0,0,8,54,19,0,0
64,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
65,late,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
66,"1950s,",0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,19,0,0
67,empirical,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
68,social,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
69,sciences,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,19,0,0
70,did,0.0,0,0,3,0,0,0,0,0,0,0,0,8,42,19,0,0
71,not,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
72,exist,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
73,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
74,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
75,Soviet,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
76,Union.,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
77,Instead,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
78,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
79,re-,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
80,"search,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,42,19,0,0
81,society,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
82,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
83,described,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
84,by,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
85,using,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
86,ideological,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
87,constructions,0.0,0,0,13,0,0,0,0,0,0,0,0,8,42,19,0,0
88,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
89,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,19,0,0
90,Communist,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
91,Party,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,19,0,0
92,history.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
93,These,0.2,1,0,5,0,0,0,0,0,0,0,0,8,42,19,0,0
94,were,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
95,much,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
96,more,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
97,closed,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
98,to,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
99,religion,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,19,0,0
100,than,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
101,to,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
102,science.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,42,19,0,0
103,Krushchev’s,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,19,0,0
104,thaw,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
105,brought,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
106,some,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
107,demo-,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,19,0,0
108,cratic,0.0,0,0,6,0,0,0,0,0,0,0,0,8,42,19,0,0
109,changes,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
110,into,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
111,political,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
112,life,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
113,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
114,ideology,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,19,0,0
115,but,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
116,did,0.0,0,0,3,0,0,0,0,0,0,0,0,8,42,19,0,0
117,not,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
118,change,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
119,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
120,suspicious,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
121,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
122,hostile,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
123,attitude,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,19,0,0
124,towards,0.0,0,0,7,0,0,0,0,0,0,0,0,8,42,19,0,0
125,empirical,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,19,0,0
126,social,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
127,research,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,19,0,0
128,as,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
129,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,19,0,0
130,“alien,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,19,0,0
131,bourgeois,0.0,0,0,9,0,0,0,0,0,0,0,0,8,42,19,0,0
132,activity.”,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
133,The,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
134,years,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
135,1958-1964,0.0,0,0,9,8,0,0,0,0,0,0,0,8,2,19,0,0
136,has,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
137,been,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
138,called,0.0,0,0,6,0,0,0,0,0,0,0,0,8,42,19,0,0
139,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
140,embryonic,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
141,period,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
142,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
143,Soviet,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
144,sociology,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
145,(Shlapentokh,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,8,42,19,0,0
146,1987:,0.0,0,0,5,4,0,1,0,0,0,0,0,8,2,19,0,0
147,13-32),0.0,0,0,6,4,0,0,0,0,0,0,0,8,2,19,0,0
148,–,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,19,0,0
149,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
150,1958,0.0,0,0,4,4,0,0,0,0,0,1,1,8,2,19,0,0
151,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
152,Soviet,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
153,So-,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
154,ciological,0.0,0,0,10,0,0,0,0,0,0,0,0,8,42,19,0,0
155,Association,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
156,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
157,established,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
158,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
159,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
160,1961-,0.0,0,0,5,4,0,0,0,0,0,0,1,8,2,19,0,0
161,1964,0.0,0,0,4,4,0,0,0,0,0,1,1,8,42,19,0,0
162,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
163,first,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
164,sociological,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
165,research,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
166,units,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
167,were,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
168,es-,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
169,tablished,0.0,0,0,9,0,0,0,0,0,0,0,0,8,42,19,0,0
170,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
171,"Moscow,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
172,Leningrad,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
173,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
174,Novosibirsk.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
175,Young,0.2,1,0,5,0,0,0,0,0,0,0,0,8,42,19,0,0
176,people,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
177,who,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
178,had,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
179,contacts,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
180,with,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
181,Western,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
182,soci-,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
183,ologists,0.0,0,0,8,0,0,0,0,0,0,0,0,8,42,19,0,0
184,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
185,who,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
186,had,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
187,had,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
188,opportunities,0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,19,0,0
189,for,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
190,scholar-,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
191,ship,0.0,0,0,4,0,0,0,0,0,0,0,0,8,42,19,0,0
192,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
193,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
194,West,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
195,often,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
196,headed,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
197,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
198,units.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
199,It,0.5,1,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
200,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
201,one,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
202,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,42,19,0,0
203,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
204,reasons,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,19,0,0
205,why,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
206,sociology,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
207,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
208,by,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
209,that,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
210,time,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
211,viewed,0.0,0,0,6,0,0,0,0,0,0,0,0,8,42,19,0,0
212,by,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
213,officials,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
214,with,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
215,suspicion.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,19,0,0
216,Attitudes,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,54,19,0,0
217,towards,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
218,sociology,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
219,started,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
220,to,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
221,change,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
222,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
223,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,42,19,0,0
224,middle,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,19,0,0
225,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
226,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
227,1960s.,0.0,0,0,6,4,0,0,0,0,0,0,0,8,2,19,0,0
228,Empirical,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,19,0,0
229,sociological,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
230,re-,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
231,search,0.0,0,0,6,0,0,0,0,0,0,0,0,8,42,19,0,0
232,expanded,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
233,into,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
234,many,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
235,areas,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
236,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
237,study,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
238,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
239,be-,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
240,gan,0.0,0,0,3,0,0,0,0,0,0,0,0,8,42,19,0,0
241,to,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
242,spread,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
243,across,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,19,0,0
244,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
245,country.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,19,0,0
246,Sociology,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
247,de-,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,19,0,0
248,served,0.0,0,0,6,0,0,0,0,0,0,0,0,8,42,19,0,0
249,official,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
250,recognition,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,19,0,0
251,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
252,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
253,very,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
254,popular,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
255,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,19,0,0
256,society;,0.0,0,0,8,0,0,0,0,0,0,0,0,8,42,19,0,0
257,sociologists,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
258,enjoyed,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,19,0,0
259,both,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,19,0,0
260,official,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,19,0,0
261,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,19,0,0
262,popu-,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,19,0,0
263,lar,0.0,0,0,3,0,0,0,0,0,0,0,0,8,42,19,0,0
264,prestige.,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,19,0,0
265,It,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
266,happened,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,19,0,0
267,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,19,0,0
268,connection,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,19,0,0
269,with,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
270,Pre-,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,19,0,0
