,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,4/1991,0.0,0,0,6,5,1,0,0,0,0,0,1,9,39,47,0,0
1,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,248,47,1,0
2,Hermeneut,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,47,1,0
3,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,47,1,0
4,Autor,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,47,1,0
5,3,0.0,0,0,1,1,0,0,0,0,0,0,1,8,362,47,1,0
6,DER,1.0,1,0,3,0,0,0,0,0,0,0,0,10,39,78,0,1
7,HERMENEUT,1.0,1,0,9,0,0,0,0,0,0,0,0,10,4,78,0,1
8,ALS,1.0,1,0,3,0,0,0,0,0,0,0,0,10,136,78,0,1
9,AUTOR,1.0,1,0,5,0,0,0,0,0,0,0,0,10,4,78,0,1
10,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,39,100,0,0
11,DarsteIlbarkeit,0.13333333333333333,1,0,15,0,0,0,0,0,0,0,0,10,4,100,0,0
12,hermeneutischer,0.0,0,0,15,0,0,0,0,0,0,0,0,10,6,100,0,0
13,Fallrekonstruktionen,0.05,1,0,20,0,0,0,0,0,0,0,0,10,8,100,0,0
14,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,9,38,131,0,1
15,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,131,0,1
16,"""Eine",0.2,0,0,5,0,0,0,0,0,0,0,0,7,187,182,0,0
17,allgemeine,0.0,0,0,10,0,0,0,0,0,0,0,0,7,4,182,0,0
18,"Unruhe,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,7,182,0,0
19,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,182,0,0
20,übertriebenes,0.0,0,0,13,0,0,0,0,0,0,0,0,7,3,182,0,0
21,Ver-,0.25,1,0,4,0,0,0,0,0,0,0,0,7,8,182,0,0
22,langen,0.0,0,0,6,0,0,0,0,0,0,0,0,7,188,16,0,0
23,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,7,5,16,0,0
24,Neuerungen,0.1,1,0,10,0,0,0,0,0,0,0,0,7,4,16,0,0
25,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,7,8,16,0,0
26,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,4,16,0,0
28,Gemüter,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,4,16,0,0
29,bemächtigt,0.0,0,0,10,0,0,0,0,0,0,0,0,7,188,16,0,0
30,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,7,16,0,0
31,würde,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
32,schließlich,0.0,0,0,11,0,0,0,0,0,0,0,0,7,5,16,0,0
33,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,6,16,0,0
34,Meinungen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,4,16,0,0
35,vollends,0.0,0,0,8,0,0,0,0,0,0,0,0,7,188,16,0,0
36,"verwirren,",0.0,0,0,10,0,0,0,0,0,0,0,0,7,6,16,0,0
37,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,7,6,16,0,0
38,man,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
39,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,7,4,16,0,0
40,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,7,4,16,0,0
41,"beeilte,",0.0,0,0,8,0,0,0,0,0,0,0,0,7,4,16,0,0
42,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,187,16,0,0
43,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,16,0,0
44,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
45,Vereinigung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,4,16,0,0
46,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,7,16,0,0
47,weisen,0.0,0,0,6,0,0,0,0,0,0,0,0,7,4,16,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
49,maB-,0.25,0,0,4,0,0,0,0,0,0,0,0,7,4,16,0,0
50,vollen,0.0,0,0,6,0,0,0,0,0,0,0,0,7,188,16,0,0
51,Ratschlägen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,5,16,0,0
52,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,7,16,0,0
53,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
54,feste,0.0,0,0,5,0,0,0,0,0,0,0,0,7,4,16,0,0
55,Richtung,0.125,1,0,8,0,0,0,0,0,0,0,0,7,5,16,0,0
56,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,7,6,16,0,0
57,len-,0.0,0,0,4,0,0,0,0,0,0,0,0,7,3,16,0,0
58,"ken.""",0.0,0,0,5,0,0,0,0,0,0,0,0,7,188,16,0,0
59,(Ludwig,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,7,4,16,0,0
60,XVI,1.0,1,0,3,0,0,0,0,0,0,0,0,7,5,16,0,0
61,am,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,16,0,0
62,5.,0.0,0,0,2,1,0,0,0,0,0,0,1,7,4,16,0,0
63,Mai,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,16,0,0
64,1789),0.0,0,0,5,4,0,0,0,0,0,0,0,7,4,16,0,0
65,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,39,272,0,0
66,Einleitung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,272,0,0
67,"""Das",0.25,0,0,4,0,0,0,0,0,0,0,0,8,38,294,0,0
68,Leben,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,294,0,0
69,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,294,0,0
70,Naturforschers,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,5,294,0,0
71,könnte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,7,294,0,0
72,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,294,0,0
73,glücklich,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,294,0,0
74,"sein,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,294,0,0
75,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,294,0,0
76,er,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,294,0,0
77,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,294,0,0
78,beobachten,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,294,0,0
79,"dürfte,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,39,18,0,0
80,ohne,0.0,0,0,4,0,0,0,0,0,0,0,0,8,6,18,0,0
81,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,6,18,0,0
82,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,18,0,0
83,schreiben,0.0,0,0,9,0,0,0,0,0,0,0,0,8,6,18,0,0
84,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,8,18,0,0
85,"müssen.""",0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,18,0,0
86,Dies,0.25,1,0,4,0,0,0,0,0,0,0,0,8,7,18,0,0
87,soll,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,18,0,0
88,Chartes,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,6,18,0,0
89,Darwin,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,7,18,0,0
90,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,18,0,0
91,Freund,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,39,18,0,0
92,bekümmert,0.0,0,0,9,0,0,0,0,0,0,0,0,8,6,18,0,0
93,geschrieben,0.0,0,0,11,0,0,0,0,0,0,0,0,8,7,18,0,0
94,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,8,18,0,0
95,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,18,0,0
96,Lepenies,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,18,0,0
97,"1978),",0.0,0,0,6,4,0,0,0,0,0,0,0,8,7,18,0,0
98,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,18,0,0
99,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,18,0,0
