,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Jo,0.5,1,0,2,0,0,0,0,0,0,0,0,14,4,126,0,0
1,Reichertz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,3,126,1,0
2,Gültige,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,5,154,0,0
3,Entdeckung,0.1,1,0,10,0,0,0,0,0,0,0,0,12,7,154,0,0
4,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,12,154,0,0
5,Neuen?,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,154,0,0
6,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,6,27,0,0
7,Bedeutung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,5,27,0,0
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,11,27,0,0
9,Abduktion,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,6,27,0,0
10,Sozialforschung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,6,27,0,0
11,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,177,170,0,0
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,170,0,0
13,qualitativen,0.0,0,0,12,0,0,0,0,0,0,0,0,12,6,170,0,0
14,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,6,224,0,0
15,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,5,224,0,0
16,Abduktion,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,224,0,0
17,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,85,224,0,0
18,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,224,0,0
19,was,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,224,0,0
20,man,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,224,0,0
21,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,6,224,0,0
22,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,224,0,0
23,ihr,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,224,0,0
24,erhofft,0.0,0,0,7,0,0,0,0,0,0,0,0,9,5,224,0,0
25,Manche,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,6,249,0,0
26,Missverständnisse,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,7,249,0,0
27,halten,0.0,0,0,6,0,0,0,0,0,0,0,0,9,10,249,0,0
28,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,7,249,0,0
29,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,249,0,0
30,lange.,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,249,0,0
31,Vor,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,5,249,0,0
32,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,249,0,0
33,"dann,",0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,249,0,0
34,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,9,6,249,0,0
35,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,249,0,0
36,stets,0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,21,0,0
37,aufs,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
38,Neue,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
39,wiederholt,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
40,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,6,21,0,0
41,und:,0.0,0,0,4,0,0,1,0,0,0,0,0,8,6,21,0,0
42,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
43,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
44,tief,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
45,verwurzelte,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
46,Hoffnungen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,6,21,0,0
47,füttern.,0.0,0,0,8,0,0,0,0,0,0,0,0,9,6,21,0,0
