,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,31,0.0,0,0,2,2,0,0,0,0,0,0,0,9,311,36,0,0
1,Eva,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,5,84,0,1
2,Jaeggi,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,84,0,1
3,DER,1.0,1,0,3,0,0,0,0,0,0,0,0,11,5,129,0,1
4,KRITISCH,1.0,1,0,8,0,0,0,0,0,0,0,0,11,3,129,0,1
5,FORSCHENDE,1.0,1,0,10,0,0,0,0,0,0,0,0,11,3,129,0,1
6,PRAKTIKER*,0.9,1,0,10,0,0,0,0,0,0,0,0,11,3,129,0,1
7,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,5,174,0,1
8,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,174,0,1
9,herkömmlichen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,5,174,0,1
10,Annahmen,0.125,1,0,8,0,0,0,0,0,0,0,0,9,5,174,0,1
11,über,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,174,0,1
12,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,174,0,1
13,Theorie-Praxis-Ver­,0.15789473684210525,1,0,19,0,0,0,0,0,0,0,0,9,5,174,0,1
14,hältnis,0.0,0,0,7,0,0,0,0,0,0,0,0,9,20,23,0,1
15,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,5,210,0,0
16,Jahr,0.25,1,0,4,0,0,0,0,0,0,0,0,9,5,210,0,0
17,1986,0.0,0,0,4,4,0,0,0,0,0,1,1,9,6,210,0,0
18,erschien,0.0,0,0,8,0,0,0,0,0,0,0,0,9,5,210,0,0
19,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,210,0,0
20,Buch,0.25,1,0,4,0,0,0,0,0,0,0,0,9,5,210,0,0
21,(Michaelis,0.1,0,0,10,0,0,0,0,0,0,0,0,9,5,210,0,0
22,"1986),",0.0,0,0,6,4,0,0,0,0,0,0,0,9,6,210,0,0
23,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,6,210,0,0
24,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,210,0,0
25,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,210,0,0
26,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,210,0,0
27,gründlicher,0.0,0,0,11,0,0,0,0,0,0,0,0,9,5,23,0,0
28,Weise,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,23,0,0
29,verschiedene,0.0,0,0,12,0,0,0,0,0,0,0,0,9,5,23,0,0
30,Ausbildungskonzepte,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,5,23,0,0
31,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
32,Psycholo­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,23,0,0
33,gen,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
34,zusammengetragen,0.0,0,0,16,0,0,0,0,0,0,0,0,9,3,23,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
36,gegeneinander,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,23,0,0
37,abgewogen,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,23,0,0
38,wurden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,23,0,0
39,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
40,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,23,0,0
41,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,23,0,0
42,Ausbildungsvorschlag,0.05,1,0,20,0,0,0,0,0,0,0,0,9,4,23,0,0
43,"mündeten,",0.0,0,0,9,0,0,0,0,0,0,0,0,9,4,23,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
45,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
46,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
47,Art,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
48,dualistischer,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,23,0,0
49,Ausbildung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,5,23,0,0
50,hinauslief:,0.0,0,0,11,0,0,1,0,0,0,0,0,9,4,23,0,0
51,man,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
52,möge,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,23,0,0
53,Psychologen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,23,0,0
54,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,23,0,0
