,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,49,0.0,0,0,2,2,0,0,0,0,0,0,1,9,308,31,0,0
1,Jürgen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,78,0,1
2,Körner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,78,0,1
3,FÜR,1.0,1,0,3,0,0,0,0,0,0,0,0,11,4,124,0,1
4,EINE,1.0,1,0,4,0,0,0,0,0,0,0,0,11,7,124,0,1
5,RÜCKKEHR,1.0,1,0,8,0,0,0,0,0,0,0,0,11,7,124,0,1
6,IN,1.0,1,0,2,0,0,0,0,0,0,0,0,11,4,25,0,1
7,DIE,1.0,1,0,3,0,0,0,0,0,0,0,0,11,3,25,0,1
8,PSYCHOLOGIE!,0.9166666666666666,1,0,12,0,0,0,0,0,0,0,0,11,3,25,0,1
9,DER,1.0,1,0,3,0,0,0,0,0,0,0,0,11,166,124,0,1
10,PSYCHOANALYSE,1.0,1,0,13,0,0,0,0,0,0,0,0,11,7,124,0,1
11,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,5,182,0,0
12,heute,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,182,0,0
13,gut,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,182,0,0
14,100,0.0,0,0,3,3,0,0,0,0,0,0,1,9,5,182,0,0
15,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,182,0,0
16,alte,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,182,0,0
17,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,182,0,0
18,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,182,0,0
19,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,182,0,0
20,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,182,0,0
21,wechsel­,0.0,0,0,8,0,0,0,0,0,0,0,0,9,5,182,0,0
22,volles,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,23,0,0
23,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,23,0,0
24,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
25,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,23,0,0
26,zurückblicken:,0.0,0,0,14,0,0,1,0,0,0,0,0,9,3,23,0,0
27,Gab,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
28,es,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,23,0,0
29,anfangs,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,23,0,0
30,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
31,Reihe,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,23,0,0
32,persönlicher,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,23,0,0
33,Verbindungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,23,0,0
34,(z.,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
35,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,23,0,0
36,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
37,Jean,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
38,"Piaget,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,23,0,0
39,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
40,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
41,zeit­,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,23,0,0
42,lang,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,23,0,0
43,als,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
44,Psychoanalytiker,0.0625,1,0,16,0,0,0,0,0,0,0,0,9,4,23,0,0
45,arbeitete),0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,23,0,0
46,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
47,wissenschaftlicher,0.0,0,0,18,0,0,0,0,0,0,0,0,9,4,23,0,0
48,Einflüsse,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,23,0,0
49,(z.,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
50,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,4,23,0,0
51,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,23,0,0
52,Wilhelm,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,23,0,0
53,"Wundt,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,23,0,0
54,Fechner,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,23,0,0
55,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
56,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
57,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,23,0,0
58,"Heimholtz,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,23,0,0
59,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
60,Freuds,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,5,23,0,0
61,Denken,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,23,0,0
62,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
63,eigenem,0.0,0,0,7,0,0,0,0,0,0,0,0,9,2,23,0,0
64,Zeugnis,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,23,0,0
65,nachhaltig,0.0,0,0,10,0,0,0,0,0,0,0,0,9,3,23,0,0
66,beeinflußten,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,23,0,0
67,"1),",0.0,0,0,3,1,0,0,0,0,0,0,0,8,4,23,0,0
68,kam,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
69,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,23,0,0
70,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
71,zwanziger,0.0,0,0,9,0,0,0,0,0,0,0,0,9,5,23,0,0
72,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,23,0,0
73,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,23,0,0
74,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,9,5,23,0,0
75,gegenseitiger,0.0,0,0,13,0,0,0,0,0,0,0,0,9,4,23,0,0
76,Distanzierung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,4,23,0,0
77,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
78,Entwertung.,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,5,23,0,0
79,William,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,23,0,0
80,Stern,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,23,0,0
81,z.,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,23,0,0
82,B.,0.5,1,0,2,0,0,0,0,0,0,0,0,9,4,23,0,0
83,"""entfachte""",0.0,0,0,11,0,0,0,0,0,0,0,0,9,4,23,0,0
84,(so,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
85,"Nitzschke,",0.1,1,0,10,0,0,0,0,0,0,0,0,9,3,23,0,0
86,1990),0.0,0,0,5,4,0,0,0,0,0,0,0,9,4,23,0,0
87,wü­,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
88,tende,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,23,0,0
89,Angriffe,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,23,0,0
90,gegen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,23,0,0
91,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,23,0,0
92,"Psychoanalyse,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,23,0,0
93,welche,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,23,0,0
