,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,13,0.0,0,0,2,2,0,0,0,0,0,0,1,9,308,37,0,0
1,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,4,82,0,1
2,Legewie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,82,0,1
3,KRISE,1.0,1,0,5,0,0,0,0,0,0,0,0,11,4,127,0,1
4,DER,1.0,1,0,3,0,0,0,0,0,0,0,0,11,4,127,0,1
5,PSYCHOLOGIE,1.0,1,0,11,0,0,0,0,0,0,0,0,11,3,127,0,1
6,ODER,1.0,1,0,4,0,0,0,0,0,0,0,0,11,3,127,0,1
7,PSYCHOLOGIE,1.0,1,0,11,0,0,0,0,0,0,0,0,11,4,150,0,1
8,DER,1.0,1,0,3,0,0,0,0,0,0,0,0,11,3,150,0,1
9,KRISE?*,0.7142857142857143,1,0,7,0,0,0,0,0,0,0,0,11,3,150,0,1
10,Welchen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,195,0,0
11,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,4,195,0,0
12,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,195,0,0
13,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,195,0,0
14,wissenschaftliche,0.0,0,0,17,0,0,0,0,0,0,0,0,9,4,195,0,0
15,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,195,0,0
16,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,195,0,0
17,Gestal­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,195,0,0
18,tung,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,23,0,0
19,unserer,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,23,0,0
20,Lebensbedingungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,3,23,0,0
21,leisten,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,23,0,0
22,angesichts,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,23,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
24,Herausforde­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,23,0,0
25,rungen,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,23,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
27,gegenwärtigen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,2,23,0,0
28,sozial-ökonomischen,0.0,0,0,19,0,0,0,0,0,0,0,0,9,3,23,0,0
29,Krise?,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,23,0,0
30,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,4,245,0,0
31,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,245,0,0
32,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,245,0,0
33,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,245,0,0
34,gehe,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,245,0,0
35,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,245,0,0
36,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,245,0,0
37,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,245,0,0
38,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,245,0,0
39,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,3,245,0,0
40,bewußt,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,245,0,0
41,vereinfa­,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,245,0,0
42,chenden,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,23,0,0
43,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,6,23,0,0
44,Gegenüberstellung,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,6,23,0,0
45,zweier,0.0,0,0,6,0,0,0,0,0,0,0,0,9,6,23,0,0
46,Wissenschaftsauffassungen,0.04,1,0,25,0,0,0,0,0,0,0,0,9,5,23,0,0
47,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,6,23,0,0
48,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
49,Psychologie:,0.08333333333333333,1,0,12,0,0,1,0,0,0,0,0,9,5,23,0,0
50,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,23,0,0
51,naturwissenschaftlich-nomologischen,0.0,0,0,35,0,0,0,0,0,0,0,0,9,5,23,0,0
52,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,23,0,0
53,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,23,0,0
54,sozialwissenschaftlich-hermeneutischen,0.0,0,0,38,0,0,0,0,0,0,0,0,9,4,23,0,0
55,(s.,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
56,Legewie.,0.125,1,0,8,0,0,0,0,0,0,0,0,9,6,23,0,0
57,1991a).,0.0,0,0,7,4,0,0,0,0,0,0,0,9,6,23,0,0
58,Meine,0.2,1,0,5,0,0,0,0,0,0,0,0,9,6,23,0,0
59,Überlegungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,4,23,0,0
60,gliedern,0.0,0,0,8,0,0,0,0,0,0,0,0,9,2,23,0,0
61,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
62,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,23,0,0
63,drei,0.0,0,0,4,0,0,0,0,0,0,0,0,9,2,23,0,0
64,Thesen:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,9,3,23,0,0
65,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,5,321,0,0
66,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,321,0,0
67,"""Krise",0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,9,3,321,0,0
68,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,321,0,0
69,"Psychologie""",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,3,321,0,0
70,besteht,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,321,0,0
71,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,321,0,0
72,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,321,0,0
73,Blindheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,321,0,0
74,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,321,0,0
75,nomologi­,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,321,0,0
76,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,9,18,23,0,0
77,Wissenschaftsverständnisses,0.037037037037037035,1,0,27,0,0,0,0,0,0,0,0,9,6,23,0,0
78,für,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,23,0,0
79,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,23,0,0
80,gegenwärtige,0.0,0,0,12,0,0,0,0,0,0,0,0,9,7,23,0,0
81,gesell­,0.0,0,0,7,0,0,0,0,0,0,0,0,9,6,23,0,0
82,schaftliche,0.0,0,0,11,0,0,0,0,0,0,0,0,9,18,23,0,0
83,Krise.,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,23,0,0
84,2.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,4,371,0,0
85,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,371,0,0
86,nomologische,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,371,0,0
87,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,371,0,0
88,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,371,0,0
89,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,371,0,0
90,Bewältigung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,371,0,0
91,lebensprakti­,0.0,0,0,13,0,0,0,0,0,0,0,0,9,3,371,0,0
92,scher,0.0,0,0,5,0,0,0,0,0,0,0,0,9,18,23,0,0
93,Problemlagen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,2,23,0,0
94,strukturell,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,23,1,0
95,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
96,"""Anfangerwissen""",0.0625,0,0,16,0,0,0,0,0,0,0,0,9,3,23,0,0
97,beisteuern.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,23,0,0
98,3.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,4,407,0,0
99,Aus,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,6,407,0,0
100,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,407,0,0
101,hermeneutischen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,6,407,0,0
102,Ansatz,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,6,407,0,0
103,läßt,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,407,0,0
104,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,6,407,0,0
105,demgegenüber,0.0,0,0,12,0,0,0,0,0,0,0,0,9,5,407,0,0
106,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,407,0,0
107,"""Psychologie",0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,9,18,23,0,0
108,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
109,"Krise""",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,23,0,0
110,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
111,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
112,Krisenbewältigung,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,2,23,0,0
113,entwickeln.,0.0,0,0,11,0,0,0,0,0,0,0,0,9,3,23,0,0
114,*,0.0,0,0,1,0,0,0,0,0,0,0,0,11,4,534,0,0
115,Überarbeitete,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,534,0,0
116,Fassung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,534,0,0
117,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,534,0,0
118,Vortrags,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,534,0,0
119,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,534,0,0
120,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,534,0,0
121,Kongreß,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,534,0,0
122,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,534,0,0
123,Deutschen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,534,0,0
124,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,534,0,0
125,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,10,19,0,0
126,"Psychologie,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,19,0,0
