,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,73,0.0,0,0,2,2,0,0,0,0,0,0,1,9,306,29,0,0
1,Günter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,3,73,0,1
2,Rexilius,0.125,1,0,8,0,0,0,0,0,0,0,0,10,3,73,0,1
3,THEORETISCHE,1.0,1,0,12,0,0,0,0,0,0,0,0,11,3,118,0,1
4,GRUNDLAGEN,1.0,1,0,10,0,0,0,0,0,0,0,0,11,5,118,0,1
5,UND,1.0,1,0,3,0,0,0,0,0,0,0,0,11,6,118,0,1
6,PERSPEK­,0.875,1,0,8,0,0,0,0,0,0,0,0,11,6,118,0,1
7,TIVEN,1.0,1,0,5,0,0,0,0,0,0,0,0,11,3,25,0,1
8,EINER,1.0,1,0,5,0,0,0,0,0,0,0,0,11,3,25,0,1
9,KRITISCHEN,1.0,1,0,10,0,0,0,0,0,0,0,0,11,3,25,0,1
10,PSYCHOLOGIE,1.0,1,0,11,0,0,0,0,0,0,0,0,11,3,25,0,1
11,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,10,4,178,0,1
12,Vorrede,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,3,178,0,1
13,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,200,0,0
14,Debatte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,200,0,0
15,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,200,0,0
16,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,200,0,0
17,theoretischen,0.0,0,0,13,0,0,0,0,0,0,0,0,9,4,200,0,0
18,Fundamente,0.1,1,0,10,0,0,0,0,0,0,0,0,9,4,200,0,0
19,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,200,0,0
20,kritischen,0.0,0,0,10,0,0,0,0,0,0,0,0,9,4,200,0,0
21,Psy­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,200,0,0
22,chologie,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,23,0,0
23,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,23,0,0
24,entweder,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,23,0,0
25,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,23,0,0
26,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,23,0,0
27,bzw.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,23,0,0
28,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,5,23,0,0
29,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,23,0,0
30,Weise,0.2,1,0,5,0,0,0,0,0,0,0,0,9,4,23,0,0
31,"geführt,",0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,23,0,0
32,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
33,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,23,0,0
34,produktiv,0.0,0,0,9,0,0,0,0,0,0,0,0,9,5,23,0,0
35,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,6,23,0,0
36,entwicklungsorientiert,0.0,0,0,22,0,0,0,0,0,0,0,0,9,6,23,0,0
37,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
38,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,5,23,0,0
39,etwa,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,23,0,0
40,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
41,wenigen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,6,23,0,0
42,Beiträge,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,23,0,0
43,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,23,0,0
44,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,23,1,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,1,0
46,"Gesellschaftskritik,",0.05,1,0,20,0,0,0,0,0,0,0,0,9,2,23,1,0
47,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
48,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
49,überhaupt,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,23,0,0
50,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,23,0,0
51,theoretische,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,23,0,0
52,Reflexion,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,4,23,0,0
53,bemühen,0.0,0,0,7,0,0,0,0,0,0,0,0,9,4,23,0,0
54,-;,0.0,0,0,2,0,0,0,0,0,0,0,0,9,4,23,0,0
55,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,23,0,0
56,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,23,0,0
57,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,23,0,0
58,verkürzt,0.0,0,0,8,0,0,0,0,0,0,0,0,9,4,23,0,0
59,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,23,0,0
60,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
61,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
62,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
63,verengte,0.0,0,0,8,0,0,0,0,0,0,0,0,9,3,23,0,0
64,wissenschaftstheoretische,0.0,0,0,25,0,0,0,0,0,0,0,0,9,4,23,0,0
65,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
66,-historische,0.0,0,0,12,0,0,0,0,0,0,0,0,9,4,23,0,0
67,Grundla­,0.125,1,0,8,0,0,0,0,0,0,0,0,9,4,23,0,0
68,gen,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
69,"beschränken,",0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,23,0,0
