,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,101,0.0,0,0,3,3,0,0,0,0,0,0,1,9,300,28,0,0
1,REZENSIONEN,1.0,1,0,11,0,0,0,0,0,0,0,0,12,2,75,0,0
2,"Hildebrandt,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,10,2,120,0,0
3,Helmut:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,10,3,120,0,0
4,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,10,2,142,0,0
5,Bedeutung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,10,2,142,0,0
6,des,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,142,0,0
7,Begriffs,0.125,1,0,8,0,0,0,0,0,0,0,0,10,3,142,0,0
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,142,0,0
9,Alltagspsychologie,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,10,3,142,0,0
10,in,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2,142,0,0
11,Theorie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,10,3,142,0,0
12,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,142,0,0
13,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,10,2,24,0,0
14,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,24,0,0
15,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,3,24,0,0
16,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,178,0,0
17,psychologiegeschichtliche,0.0,0,0,25,0,0,0,0,0,0,0,0,9,4,178,0,0
18,Studie,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,178,0,0
19,anhand,0.0,0,0,6,0,0,0,0,0,0,0,0,9,4,178,0,0
20,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,178,0,0
21,Krise,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,178,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,178,0,0
23,Psycho­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,178,0,0
24,logie,0.0,0,0,5,0,0,0,0,0,0,0,0,9,2,23,0,0
25,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,23,0,0
26,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,23,0,0
27,Weimarer,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,23,0,0
28,Republik.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,23,0,0
29,Frankfurt/M.:,0.15384615384615385,1,0,13,0,1,1,0,0,0,0,0,9,2,23,0,0
30,Lang,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
31,"1991,326",0.0,0,0,8,7,0,0,0,0,0,0,0,9,4,23,0,0
32,"Seiten,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,23,0,0
33,DM,1.0,1,0,2,0,0,0,0,0,0,0,0,9,3,23,0,0
34,"95,--.",0.0,0,0,6,2,0,0,0,0,0,0,1,9,2,23,0,0
35,In,0.5,1,0,2,0,0,0,0,0,0,0,0,9,3,228,0,0
36,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,228,0,0
37,neueren,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,228,0,0
38,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,9,2,228,0,0
39,um,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,228,0,0
40,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,228,0,0
41,Kognitive,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,228,0,0
42,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,228,0,0
43,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,228,0,0
44,Philoso­,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,228,0,0
45,phie,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
46,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
47,Geistes,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,6,23,0,0
48,spielt,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,23,0,0
49,das,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,23,0,0
50,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,9,5,23,0,0
