,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,5,0.0,0,0,1,1,0,0,0,0,0,0,1,10,313,32,0,0
1,THEMATISCHE,1.0,1,0,11,0,0,0,0,0,0,0,0,11,6,79,0,1
2,BEITRÄGE,1.0,1,0,8,0,0,0,0,0,0,0,0,11,3,79,0,1
3,Günter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,6,123,0,1
4,Zurhorst,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,123,0,1
5,DIE,1.0,1,0,3,0,0,0,0,0,0,0,0,11,7,173,0,1
6,ERNEUERUNG,1.0,1,0,10,0,0,0,0,0,0,0,0,11,17,173,0,1
7,ANTHROPOLOGISCHEN,1.0,1,0,17,0,0,0,0,0,0,0,0,11,7,25,0,1
8,PSYCHOLOGIE,1.0,1,0,11,0,0,0,0,0,0,0,0,11,7,25,0,1
9,DER,1.0,1,0,3,0,0,0,0,0,0,0,0,11,161,173,0,1
10,PHILOSOPHISCH·,0.9285714285714286,1,0,14,0,0,0,0,0,0,0,0,11,207,173,0,1
11,GRUNDLAGEN,1.0,1,0,10,0,0,0,0,0,0,0,0,11,183,25,0,1
12,DER,1.0,1,0,3,0,0,0,0,0,0,0,0,11,16,25,0,1
13,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,7,245,0,0
14,Folgenden,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,245,0,0
15,möchte,0.0,0,0,6,0,0,0,0,0,0,0,0,9,5,245,0,0
16,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,245,0,0
17,thesenartig,0.0,0,0,11,0,0,0,0,0,0,0,0,9,5,245,0,0
18,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,245,0,0
19,paar,0.0,0,0,4,0,0,0,0,0,0,0,0,9,5,245,0,0
20,Argumente,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,5,245,0,0
21,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,245,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,5,245,0,0
23,philosophischen,0.0,0,0,15,0,0,0,0,0,0,0,0,9,7,23,0,0
24,Anthropologie,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,9,23,0,0
25,"zusammentragen,",0.0,0,0,15,0,0,0,0,0,0,0,0,9,9,23,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,9,23,0,0
27,"begründen,",0.0,0,0,10,0,0,0,0,0,0,0,0,9,9,23,0,0
28,wieso,0.0,0,0,5,0,0,0,0,0,0,0,0,9,7,23,0,0
29,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,23,0,0
30,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
31,langem,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,23,0,0
32,existierende,0.0,0,0,12,0,0,0,0,0,0,0,0,9,3,23,0,0
33,Typ,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
34,wissenschaftlichen,0.0,0,0,18,0,0,0,0,0,0,0,0,9,3,23,0,0
35,Wissens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,23,0,0
36,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,23,0,0
37,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,23,0,0
38,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,4,23,0,0
39,mittlerweile,0.0,0,0,12,0,0,0,0,0,0,0,0,9,5,23,0,0
40,seine,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,23,0,0
41,dominante,0.0,0,0,9,0,0,0,0,0,0,0,0,9,5,23,0,0
42,Rolle,0.2,1,0,5,0,0,0,0,0,0,0,0,9,5,23,0,0
43,ausgespielt,0.0,0,0,11,0,0,0,0,0,0,0,0,9,5,23,0,0
44,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,9,4,23,0,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,7,23,0,0
46,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,23,0,0
47,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,23,0,0
48,Vielfalt,0.125,1,0,8,0,0,0,0,0,0,0,0,9,3,23,0,0
49,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,23,0,0
50,Wissensforrnen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,9,3,23,0,0
51,ersetzt,0.0,0,0,7,0,0,0,0,0,0,0,0,9,3,23,0,0
52,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,9,3,23,0,0
53,muß.,0.0,0,0,4,0,0,0,0,0,0,0,0,9,4,23,0,0
54,Ins­,0.25,1,0,4,0,0,0,0,0,0,0,0,9,4,23,0,0
55,besondere,0.0,0,0,9,0,0,0,0,0,0,0,0,9,7,23,0,0
56,meine,0.0,0,0,5,0,0,0,0,0,0,0,0,9,5,23,0,0
