,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,P&G,0.6666666666666666,1,0,3,0,0,0,0,0,0,0,0,6,17,28,0,0
1,73,0.0,0,0,2,2,0,0,0,0,0,0,1,6,2,28,0,0
2,(19.,0.0,0,0,4,2,0,0,0,0,0,0,0,6,2,28,0,0
3,"Jg.,",0.25,1,0,4,0,0,0,0,0,0,0,0,6,2,28,0,0
4,"95,",0.0,0,0,3,2,0,0,0,0,0,0,1,6,2,28,0,0
5,1),0.0,0,0,2,1,0,0,0,0,0,0,0,6,3,28,0,0
6,Eva,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,17,57,0,0
7,Jaeggi,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,57,0,0
8,KAPRIZIÖSE,1.0,1,0,10,0,0,0,0,0,0,0,0,10,17,91,0,0
9,PARTNERSCHAFTEN:,0.9375,1,0,16,0,0,1,0,0,0,0,0,10,2,91,0,0
10,SINGLES,1.0,1,0,7,0,0,0,0,0,0,0,0,10,16,26,0,0
11,ALS,1.0,1,0,3,0,0,0,0,0,0,0,0,10,2,26,0,0
12,TRENDSETTER,1.0,1,0,11,0,0,0,0,0,0,0,0,10,2,26,0,0
13,EINES,1.0,1,0,5,0,0,0,0,0,0,0,0,10,17,26,0,0
14,NEUEN,1.0,1,0,5,0,0,0,0,0,0,0,0,10,3,26,0,0
15,GESCHLECHTERVERHÄLTNISSES,1.0,1,0,25,0,0,0,0,0,0,0,0,10,3,26,0,0
16,17,0.0,0,0,2,2,0,0,0,0,0,0,1,10,327,32,0,0
17,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,17,186,0,0
18,Allgemeines,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,7,186,0,0
19,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,31,216,0,0
20,hohe,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,216,0,0
21,Anzahl,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,216,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,216,0,0
23,"Alleinlebenden,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,4,216,0,0
24,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,216,0,0
25,allem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,216,0,0
26,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,216,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,216,0,0
28,"Großstadt,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,216,0,0
29,erregt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,216,0,0
30,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,216,0,0
31,einigen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,16,21,0,0
