,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,P&G,0.6666666666666666,1,0,3,0,0,0,0,0,0,0,0,6,23,32,0,0
1,73,0.0,0,0,2,2,0,0,0,0,0,0,1,6,2,32,0,0
2,(19.,0.0,0,0,4,2,0,0,0,0,0,0,0,6,2,32,0,0
3,"Jg.,",0.25,1,0,4,0,0,0,0,0,0,0,0,6,2,32,0,0
4,"95,",0.0,0,0,3,2,0,0,0,0,0,0,1,6,2,32,0,0
5,1),0.0,0,0,2,1,0,0,0,0,0,0,0,6,3,32,0,0
6,Heiner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,22,61,0,0
7,Keupp,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,61,0,0
8,AKTUELLE,1.0,1,0,8,0,0,0,0,0,0,0,0,10,22,91,0,0
9,BEFINDLICHKEITEN:,0.9411764705882353,1,0,17,0,0,1,0,0,0,0,0,10,2,91,0,0
10,ZWISCHEN,1.0,1,0,8,0,0,0,0,0,0,0,0,10,22,26,0,0
11,POSTMODERNER,1.0,1,0,12,0,0,0,0,0,0,0,0,10,2,26,0,0
12,DIFFUSION,1.0,1,0,9,0,0,0,0,0,0,0,0,10,2,26,0,0
13,UND,1.0,1,0,3,0,0,0,0,0,0,0,0,10,2,26,0,0
14,DER,1.0,1,0,3,0,0,0,0,0,0,0,0,10,3,26,0,0
15,SUCHE,1.0,1,0,5,0,0,0,0,0,0,0,0,10,22,26,0,0
16,NACH,1.0,1,0,4,0,0,0,0,0,0,0,0,10,2,26,0,0
17,NEUEN,1.0,1,0,5,0,0,0,0,0,0,0,0,10,3,26,0,0
18,FUNDAMENTEN*,0.9166666666666666,1,0,12,0,0,0,0,0,0,0,0,10,3,26,0,0
19,29,0.0,0,0,2,2,0,0,0,0,0,0,0,10,330,36,0,0
20,Max,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,36,193,0,0
21,"Weber,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,193,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,193,0,0
