,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,P&G73,0.4,1,0,5,2,0,0,0,0,0,0,0,7,19,28,0,0
1,(19.,0.0,0,0,4,2,0,0,0,0,0,0,0,7,2,28,0,0
2,"Jg.,",0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,28,0,0
3,"95,1)",0.0,0,0,5,3,0,0,0,0,0,0,0,7,2,28,0,0
4,THEMATISCHE,1.0,1,0,11,0,0,0,0,0,0,0,0,9,18,58,0,1
5,BEITRÄGE,1.0,1,0,8,0,0,0,0,0,0,0,0,9,141,58,0,1
6,Sabine,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,18,97,0,1
7,Pankofer,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,97,0,1
8,"""UND",0.75,0,0,4,0,0,0,0,0,0,0,0,9,18,128,0,1
9,AUF,1.0,1,0,3,0,0,0,0,0,0,0,0,9,2,128,0,1
10,GEHT'S,0.8333333333333334,1,0,6,0,0,0,0,0,0,0,0,9,2,128,0,1
11,ZUM,1.0,1,0,3,0,0,0,0,0,0,0,0,9,3,128,0,1
12,ZILLERTALER,1.0,1,0,11,0,0,0,0,0,0,0,0,9,2,128,0,1
13,HOCHZEITS·,0.9,1,0,10,0,0,0,0,0,0,0,0,9,2,128,0,1
14,"MARSCH!""",0.75,1,0,8,0,0,0,0,0,0,0,0,9,18,25,0,1
15,-,0.0,0,0,1,0,0,0,0,0,0,0,0,9,2,25,0,1
16,ODER:,0.8,1,0,5,0,0,1,0,0,0,0,0,9,5,25,0,1
17,FREMDHEIT,1.0,1,0,9,0,0,0,0,0,0,0,0,9,3,25,0,1
18,IN,1.0,1,0,2,0,0,0,0,0,0,0,0,9,2,25,0,1
19,DER,1.0,1,0,3,0,0,0,0,0,0,0,0,9,3,25,0,1
20,HEIMAT,1.0,1,0,6,0,0,0,0,0,0,0,0,9,2,25,0,1
21,7,0.0,0,0,1,1,0,0,0,0,0,0,1,9,333,31,0,0
22,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,18,199,0,1
23,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,199,0,1
24,subjektiver,0.0,0,0,11,0,0,0,0,0,0,0,0,9,2,199,0,1
25,Bewältigungsversuch,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,9,2,199,0,1
26,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,9,3,199,0,1
27,postmodernen,0.0,0,0,12,0,0,0,0,0,0,0,0,9,18,25,0,1
28,Krise,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,25,0,1
29,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,119,266,1,0
30,bayerische,0.0,0,0,10,0,0,0,0,0,0,0,0,8,1,266,1,0
31,Alleinunterhalter,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,1,266,1,0
32,unterhält,0.0,0,0,9,0,0,0,0,0,0,0,0,8,1,266,1,0
33,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,266,1,0
34,Hochzeits­,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,266,1,0
35,gesellschaft.,0.0,0,0,13,0,0,0,0,0,0,0,0,8,119,21,1,0
36,Zwischen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,6,21,1,0
37,Ländler,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,21,1,0
38,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,1,0
