,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,P&G,0.6666666666666666,1,0,3,0,0,0,0,0,0,0,0,7,22,26,0,0
1,73,0.0,0,0,2,2,0,0,0,0,0,0,1,7,1,26,0,0
2,(19.,0.0,0,0,4,2,0,0,0,0,0,0,0,7,2,26,0,0
3,"Jg.,",0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,26,0,0
4,"95,",0.0,0,0,3,2,0,0,0,0,0,0,1,7,2,26,0,0
5,I),0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,26,0,0
6,Waller,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,22,55,0,0
7,Pompe,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,55,0,0
8,PROBLEMATISIEREN,1.0,1,0,16,0,0,0,0,0,0,0,0,10,22,87,0,0
9,UND,1.0,1,0,3,0,0,0,0,0,0,0,0,10,3,87,0,0
10,VERWALTEN.,0.9,1,0,10,0,0,0,0,0,0,0,0,10,2,87,0,0
11,ZUM,1.0,1,0,3,0,0,0,0,0,0,0,0,10,22,26,0,0
12,DISKURS,1.0,1,0,7,0,0,0,0,0,0,0,0,10,3,26,0,0
13,DES,1.0,1,0,3,0,0,0,0,0,0,0,0,10,3,26,0,0
14,SEXUELLEN,1.0,1,0,9,0,0,0,0,0,0,0,0,10,2,26,0,0
15,MIßBRAUCHS,0.9,1,0,10,0,0,0,0,0,0,0,0,10,2,26,0,0
16,67,0.0,0,0,2,2,0,0,0,0,0,0,1,9,331,30,0,0
17,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,36,167,0,0
18,Skandalisierung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,167,0,0
19,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,167,0,0
20,sexuellen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,167,0,0
21,Mißbrauchs,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,167,0,0
22,"versammelt,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,167,0,0
23,ähnlich,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,167,0,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,167,0,0
25,histori­,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,167,0,0
26,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,21,21,0,0
27,"Onaniedebatte,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
28,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
29,Heer,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
30,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
31,Profis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
32,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
33,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
34,bedrohten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
35,Kinderkörper.,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
36,Dieser,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
37,Diskurs,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,21,21,0,0
38,erzeugt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
39,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
40,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
41,Reihe,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
42,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
43,"Institutionen,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,21,0,0
44,Abhör-,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
46,Ausposaunmecha­,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,21,0,0
47,"nismen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,21,21,0,0
48,"Wissensakkumulationen,",0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,2,21,0,0
49,ExpertInnen,0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
50,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
51,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
52,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
53,deren,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
54,Problematisie­,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,21,0,0
55,rungen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,21,21,0,0
56,getragen:,0.0,0,0,9,0,0,1,0,0,0,0,0,8,2,21,0,0
57,"Juridisierung,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,21,0,0
58,"Pädagogisierung,",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,21,0,0
59,Therapeutisierung.,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,2,21,0,0
60,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,8,36,21,0,0
61,Zentrum,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,1,21,0,0
62,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
63,Skandals,0.125,1,0,8,0,0,0,0,0,0,0,0,8,1,21,0,0
64,stehen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,1,21,0,0
65,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
66,Individuen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,1,21,0,0
67,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
68,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
69,Orte,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
70,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,1,21,0,0
71,Erzeugung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,1,21,0,0
72,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
73,Verwaltung:,0.09090909090909091,1,0,11,0,0,1,0,0,0,0,0,8,21,21,0,0
74,Herkunfts-,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,21,0,0
75,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
76,"Zielfamilie,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,21,0,0
77,angeschlossene,0.0,0,0,14,0,0,0,0,0,0,0,0,8,2,21,0,0
78,Beobachtungs-,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,21,0,0
79,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
80,Mode­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
81,rationsinstitutionen.,0.0,0,0,21,0,0,0,0,0,0,0,0,8,21,21,0,0
82,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
83,sexuelle,0.0,0,0,8,0,0,0,0,0,0,0,0,8,1,21,0,0
84,Mißbrauch,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,21,0,0
85,gerinnt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
86,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,1,21,0,0
87,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
88,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
89,Art,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,1,21,0,0
90,Generalklau­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,21,0,0
91,sel,0.0,0,0,3,0,0,0,0,0,0,0,0,8,21,21,0,0
92,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
93,alle,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
