,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,89,0.0,0,0,2,2,0,0,0,0,0,0,1,9,325,33,0,0
1,REZENSIONEN,1.0,1,0,11,0,0,0,0,0,0,0,0,10,17,59,0,0
2,Gabriele,0.125,1,0,8,0,0,0,0,0,0,0,0,8,17,98,0,0
3,Fuchs,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,98,0,0
4,&,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,98,0,0
5,Michael,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,98,0,0
6,Schratz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,98,0,0
7,(Hrsg.):,0.125,0,0,8,0,0,1,0,0,0,0,0,8,2,98,0,0
8,Interkulturelles,0.0625,1,0,16,0,0,0,0,0,0,0,0,10,17,22,0,0
9,Zusammenleben,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,10,4,22,0,0
10,-,0.0,0,0,1,0,0,0,0,0,0,0,0,10,4,22,0,0
11,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,10,6,22,0,0
12,wie?,0.0,0,0,4,0,0,0,0,0,0,0,0,10,4,22,0,0
13,Auseinandersetzung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,10,4,22,0,0
14,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,10,16,23,0,0
15,alltäglichem,0.0,0,0,12,0,0,0,0,0,0,0,0,10,2,23,0,0
16,und,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,23,0,0
17,institutionalisiertem,0.0,0,0,21,0,0,0,0,0,0,0,0,10,3,23,0,0
18,Rassismus.,0.1,1,0,10,0,0,0,0,0,0,0,0,10,3,23,0,0
19,(Band,0.2,0,0,5,0,0,0,0,0,0,0,0,10,17,23,0,0
20,6,0.0,0,0,1,1,0,0,0,0,0,0,1,10,3,23,0,0
21,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,23,0,0
22,Reihe,0.2,1,0,5,0,0,0,0,0,0,0,0,10,2,23,0,0
23,IMPULSE:,0.875,1,0,8,0,0,1,0,0,0,0,0,10,3,23,0,0
24,Arbeiten,0.125,1,0,8,0,0,0,0,0,0,0,0,10,3,23,0,0
25,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,23,0,0
26,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,10,3,23,0,0
27,Institut,0.125,1,0,8,0,0,0,0,0,0,0,0,10,3,23,0,0
28,für,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,23,0,0
29,Erzie­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,3,23,0,0
30,hungswissenschaften,0.0,0,0,19,0,0,0,0,0,0,0,0,10,17,23,0,0
31,an,0.0,0,0,2,0,0,0,0,0,0,0,0,10,2,23,0,0
32,der,0.0,0,0,3,0,0,0,0,0,0,0,0,10,2,23,0,0
33,Universität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,2,23,0,0
34,Innsbruck).,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,10,2,23,0,0
35,Innsbruck,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,17,23,0,0
36,1994:,0.0,0,0,5,4,0,1,0,0,0,0,0,8,2,23,0,0
37,Österreichischer,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,23,0,0
38,"StudienVerlag,",0.14285714285714285,1,0,14,0,0,0,0,0,0,0,0,8,2,23,0,0
39,192,0.0,0,0,3,3,0,0,0,0,0,0,1,8,2,23,0,0
40,"Seiten,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,23,0,0
41,"38,00",0.0,0,0,5,4,0,0,0,0,0,0,1,8,2,23,0,0
42,DM.,0.6666666666666666,1,0,3,0,0,0,0,0,0,0,0,8,2,23,0,0
