,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,P&G,0.6666666666666666,1,0,3,0,0,0,0,0,0,0,0,7,21,29,0,0
1,73,0.0,0,0,2,2,0,0,0,0,0,0,1,7,2,29,0,0
2,(19.,0.0,0,0,4,2,0,0,0,0,0,0,0,7,2,29,0,0
3,"Jg.,",0.25,1,0,4,0,0,0,0,0,0,0,0,7,2,29,0,0
4,"95,",0.0,0,0,3,2,0,0,0,0,0,0,1,7,2,29,0,0
5,I),0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,29,0,0
6,ThomasWolf,0.2,1,0,10,0,0,0,0,0,0,0,0,8,20,59,0,1
7,"MANGELSYNDROM,",0.9285714285714286,1,0,14,0,0,0,0,0,0,0,0,9,20,89,0,1
8,"FLUCHT,",0.8571428571428571,1,0,7,0,0,0,0,0,0,0,0,9,2,89,0,1
9,UTOPIE,1.0,1,0,6,0,0,0,0,0,0,0,0,9,20,26,0,1
10,UND,1.0,1,0,3,0,0,0,0,0,0,0,0,9,2,26,0,1
11,GANZ,1.0,1,0,4,0,0,0,0,0,0,0,0,9,3,26,0,1
12,NORMALE,1.0,1,0,7,0,0,0,0,0,0,0,0,9,3,26,0,1
13,MENSCHEN,1.0,1,0,8,0,0,0,0,0,0,0,0,9,2,26,0,1
14,57,0.0,0,0,2,2,0,0,0,0,0,0,1,9,329,34,0,1
15,"""Am",0.3333333333333333,0,0,3,0,0,0,0,0,0,0,0,7,49,178,0,0
16,3.,0.0,0,0,2,1,0,0,0,0,0,0,1,7,2,178,0,0
17,Dezember,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,178,0,0
18,hatte,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,178,0,0
19,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,178,0,0
20,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,178,0,0
21,freien,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,178,0,0
22,Tag,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,2,178,0,0
