,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Ulrich,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,145,64,0,0
1,Biechele,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,64,0,0
2,Ungewöhnliche,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,85,92,0,1
3,Homosexuelle,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,4,92,0,1
4,Schwulsein,0.1,1,0,10,0,0,0,0,0,0,0,0,9,107,112,0,1
5,ohne,0.0,0,0,4,0,0,0,0,0,0,0,0,9,3,112,0,1
6,die,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,112,0,1
7,community,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,112,0,1
8,»,0.0,0,0,1,0,0,0,0,0,0,0,0,5,97,169,0,0
9,Forget,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,1,169,0,0
10,the,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,169,0,0
11,"games,",0.0,0,0,6,0,0,0,0,0,0,0,0,6,2,169,0,0
12,you,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,169,0,0
13,"know,",0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,169,0,0
14,gets,0.0,0,0,4,0,0,0,0,0,0,0,0,6,3,169,0,0
15,you,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,169,0,0
16,nowhere.,0.0,0,0,8,0,0,0,0,0,0,0,0,6,2,169,0,0
17,Waste,0.2,1,0,5,0,0,0,0,0,0,0,0,6,2,169,0,0
18,of,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,169,0,0
19,time,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,169,0,0
20,when,0.0,0,0,4,0,0,0,0,0,0,0,0,6,116,17,0,0
21,you,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
22,could,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,17,0,0
23,be,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,17,0,0
24,fucking«,0.0,0,0,8,0,0,0,0,0,0,0,0,6,2,17,0,0
25,(Connell,0.125,0,0,8,0,0,0,0,0,0,0,0,6,3,17,0,0
26,et,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,17,0,0
27,"al.,",0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,17,0,0
28,"1993,",0.0,0,0,5,4,0,0,0,0,0,0,1,6,2,17,0,0
29,5.126).,0.0,0,0,7,4,0,0,0,0,0,0,0,6,2,17,0,0
30,Auch,0.25,1,0,4,0,0,0,0,0,0,0,0,8,38,214,0,0
31,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,214,0,0
32,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,214,0,0
33,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,214,0,0
34,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,214,0,0
35,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,214,0,0
36,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,214,0,0
37,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,214,0,0
38,Zeitgeistmagazine,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,3,214,0,0
39,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,214,0,0
40,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,214,0,0
41,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,38,20,0,0
42,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
43,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
44,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
45,schwule,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
46,Presse,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
47,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
48,aussehen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
49,mag,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
50,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,20,0,0
51,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,20,0,0
52,alle,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
53,Schwulen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,38,20,0,0
54,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
55,chic,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
56,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
57,"reich,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
58,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
59,alle,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
60,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
61,Akademiker,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
62,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
63,Kauf­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
64,leute,0.0,0,0,5,0,0,0,0,0,0,0,0,8,38,20,0,0
65,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
66,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
67,alle,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
68,leben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
69,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
70,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
71,Metropolen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
72,"Berlin,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
73,"Köln,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
74,"Hamburg,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
75,München,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,38,20,0,0
76,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
77,Frankfurt.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
78,Wenn,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
79,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
80,"auch,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
81,zumal,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
