,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Angela,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,142,63,0,0
1,Kühner,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,63,0,0
2,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,108,91,0,1
3,Judith,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,91,0,1
4,-,0.0,0,0,1,0,0,0,0,0,0,0,0,12,3,91,0,1
5,Du,0.5,1,0,2,0,0,0,0,0,0,0,0,12,7,91,0,1
6,Jane?,0.2,1,0,5,0,0,0,0,0,0,0,0,12,4,91,0,1
7,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,9,116,112,0,1
8,Dschungel,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,112,0,1
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,112,0,1
10,Diskurse,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,112,0,1
11,Wie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,34,182,0,0
12,"gut,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,182,0,0
13,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,182,0,0
14,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,182,0,0
15,Foucault,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,182,0,0
16,gibt!,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,182,0,0
17,Oder,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,182,0,0
18,besser:,0.0,0,0,7,0,0,1,0,0,0,0,0,8,4,182,0,0
19,Wie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,182,0,0
20,"gut,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,182,0,0
21,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,182,0,0
22,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,182,0,0
23,jene,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,182,0,0
24,Diskursexplosion,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,34,20,0,0
25,(vgI.,0.2,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
26,"Fink-Eitel,",0.18181818181818182,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
27,"1990,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,4,20,0,0
28,S.,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
29,8),0.0,0,0,2,1,0,0,0,0,0,0,0,8,4,20,0,0
30,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
31,seinem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
32,Werk,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
33,gege­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
34,ben,0.0,0,0,3,0,0,0,0,0,0,0,0,8,35,20,0,0
35,"hat,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
36,dessen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
37,Druckwelle,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
38,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
39,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
40,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
41,feministische,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,20,0,0
42,Psycholo­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
43,giestudentin,0.0,0,0,12,0,0,0,0,0,0,0,0,8,34,20,0,0
44,Ende,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
45,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
46,neunziger,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
47,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
48,massiv,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
49,erreichen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
50,konnte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
51,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,20,0,0
52,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
53,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,34,20,0,0
54,sicheren,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
55,Gefühl.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
56,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
57,frau,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
58,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
59,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
60,diesen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,1,0
61,Mann,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
62,getrost,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
63,berufen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
64,darf.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,34,20,0,0
65,Dank,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
66,"Foucault,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
67,dank,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
68,jener,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
69,"Explosion,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
70,muß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
71,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
72,mich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
73,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
74,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
75,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,34,20,0,0
76,Zugang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
77,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
78,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
79,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
80,Artikels,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
81,weder,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
82,"schämen,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
83,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
84,mich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,35,20,0,0
85,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
86,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
87,spezifisch,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
88,(und,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
89,womöglich,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
90,körperlich,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,20,0,0
91,bedingtem),0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,20,0,0
92,weiblichen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,34,20,0,0
93,Ansatz,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
94,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
95,meinem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
96,Erkenntnisinteresse,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,3,20,0,0
97,rechtfertigen.,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,20,0,0
98,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
99,habe,0.0,0,0,4,0,0,0,0,0,0,0,0,8,34,20,0,0
100,sowieso,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
101,keine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
102,Lust,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
103,"mehr,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
104,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
105,jede,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
106,(feministische),0.0,0,0,15,0,0,0,0,0,0,0,0,8,4,20,0,0
107,Äußerung,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
108,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,34,20,0,0
109,Erklärung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
110,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
111,vor,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
112,jede,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
113,längere,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
114,Abhandlung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
115,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
116,eigenes,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
117,femini­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
118,stisches,0.0,0,0,8,0,0,0,0,0,0,0,0,8,34,20,0,0
119,Theorie-Kapitel,0.13333333333333333,1,0,15,0,0,0,0,0,0,0,0,8,3,20,0,0
120,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
121,setzen:,0.0,0,0,7,0,0,1,0,0,0,0,0,8,4,20,0,0
122,(Wie,0.25,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
123,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
124,Beauvoir,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
125,"sagte,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
126,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
127,leider,0.0,0,0,6,0,0,0,0,0,0,0,0,8,34,20,0,0
128,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
129,gewissen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
130,patriachalen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
131,Strukturen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
132,...,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
133,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
134,später,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
135,"Haug,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
136,inspi­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
137,riert,0.0,0,0,5,0,0,0,0,0,0,0,0,8,35,20,0,0
138,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
139,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
140,Kritische,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
141,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
142,...,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
143,»und,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
144,mein,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
145,gerade,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
146,deswegen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
147,spezifisch,0.0,0,0,10,0,0,0,0,0,0,0,0,8,34,20,0,0
148,feministischer,0.0,0,0,14,0,0,0,0,0,0,0,0,8,2,20,0,0
149,Ansatz,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
150,...,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
151,«).,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
152,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
153,sagte,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
154,»keine,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
155,Lust,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
156,mehr«,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,1,0
157,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
158,bin,0.0,0,0,3,0,0,0,0,0,0,0,0,8,35,21,0,0
159,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
160,unversehens,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
161,mitten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
162,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
163,Thema.,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
164,Denn,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
165,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
166,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,1,0
167,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
