,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Angela,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,149,69,0,0
1,More,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,69,0,0
2,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,13,106,97,0,1
3,-,0.0,0,0,1,0,0,0,0,0,0,0,0,13,3,97,0,1
4,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,13,6,97,0,1
5,sex,0.0,0,0,3,0,0,0,0,0,0,0,0,13,64,31,0,1
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,13,4,31,0,1
7,gender,0.0,0,0,6,0,0,0,0,0,0,0,0,13,4,31,0,1
8,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,13,3,31,0,1
9,geschlechtslos?1,0.0,0,0,16,1,0,0,0,0,0,0,0,13,4,31,0,1
10,Dieser,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,55,175,0,0
11,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,175,0,0
12,befaßt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,175,0,0
13,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,175,0,0
14,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,175,0,0
15,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,175,0,0
16,"Frage,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,175,0,0
17,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,175,0,0
18,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,175,0,0
19,menschliche,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,175,0,0
20,Zweigeschlechtlichkeit,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,38,20,0,0
21,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,20,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
23,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,20,0,0
24,bisher,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,20,0,0
25,wahrgenommen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,20,0,0
26,"wurde,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,38,20,0,0
27,welchen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
28,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
29,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
30,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
31,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
32,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
33,Konstituierung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,2,20,0,0
34,die­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
35,ser,0.0,0,0,3,0,0,0,0,0,0,0,0,8,38,20,0,0
36,Zweigeschlechtlichkeit,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,3,20,0,0
37,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
38,Erfahrungstatsache,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,4,20,0,0
39,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
40,unserer,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
41,Kultur,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
42,geleistet,0.0,0,0,9,0,0,0,0,0,0,0,0,8,38,20,0,0
43,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
44,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
45,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
46,welchen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
47,Fragestellungen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,4,20,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
49,Perspektiven,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,20,0,0
50,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,38,20,0,0
