,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Rezension,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,144,69,0,1
1,Wolfgang,0.125,1,0,8,0,0,0,0,0,0,0,0,7,182,122,0,0
2,Neumann,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,122,0,0
3,&,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,122,0,0
4,Bruno,0.2,1,0,5,0,0,0,0,0,0,0,0,7,1,122,0,0
5,Peters,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,122,0,0
6,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,43,20,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,20,0,1
8,Zahnarzt,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,20,0,1
9,Zähne,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,20,0,1
10,zeigte,0.0,0,0,6,0,0,0,0,0,0,0,0,7,3,20,0,1
11,...,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,20,0,0
12,"Humor,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,3,20,0,1
13,Kreativität,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,20,0,1
14,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,20,0,1
15,therapeutisches,0.0,0,0,15,0,0,0,0,0,0,0,0,7,2,20,0,1
16,Theater,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,117,19,0,1
17,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,19,0,1
18,"Psychotherapie,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,3,19,0,1
19,Beratung,0.125,1,0,8,0,0,0,0,0,0,0,0,7,3,19,0,1
20,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,19,0,1
21,Supervision,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,3,19,0,1
22,Dortmund,0.125,1,0,8,0,0,0,0,0,0,0,0,7,128,17,0,0
23,1996:,0.0,0,0,5,4,0,1,0,0,0,0,0,7,3,17,0,0
24,Verlag,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,17,0,0
25,Modernes,0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,17,0,0
26,"Lernen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,17,0,0
27,42,0.0,0,0,2,2,0,0,0,0,0,0,1,7,3,17,0,0
28,DM,1.0,1,0,2,0,0,0,0,0,0,0,0,7,3,17,0,0
29,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,36,195,0,0
30,türkischer,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,195,0,0
31,Kollege,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,195,0,0
32,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,195,0,0
33,mir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,195,0,0
34,einmal,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,195,0,0
35,"erklärt,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,195,0,0
36,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,195,0,0
37,hohe,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,195,0,0
38,Aufkommen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,195,0,0
39,niedergeschlagener,0.0,0,0,18,0,0,0,0,0,0,0,0,8,36,20,0,0
40,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
41,depressiver,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
42,Klientlnnen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
43,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
45,Psychothera­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,20,0,0
46,pie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,36,20,0,0
47,sei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
48,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
49,ihn,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
50,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
51,"verwunderlich,",0.0,0,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
52,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
53,er,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
54,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
