,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Margit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,148,66,0,0
1,Roth,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,66,0,0
2,»Umgekehrte,0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,11,108,94,0,1
3,Welt«?,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,11,4,94,0,1
4,"Macht,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,80,114,0,1
5,Sexualität,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,114,0,1
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,114,0,1
7,Geschlechterhierarchie,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,3,114,0,1
8,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,87,130,0,1
9,Fastnachtsspiel,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,130,0,1
10,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,130,0,1
11,späten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,130,0,1
12,Mittelalters,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,130,0,1
13,Denken,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,34,185,0,0
14,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,185,0,0
15,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,185,0,0
16,"Fastnacht,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,185,0,0
17,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,185,0,0
18,erscheinen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,185,0,0
19,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,185,0,0
20,Bilder,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,185,0,0
21,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,185,0,0
