,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Tonia,0.2,1,0,5,0,0,0,0,0,0,0,0,9,148,67,0,0
1,SchachI,0.2857142857142857,1,0,7,0,0,0,0,0,0,0,0,9,3,67,0,0
2,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,50,96,0,1
3,transsexuelle,0.0,0,0,13,0,0,0,0,0,0,0,0,12,4,96,0,1
4,Schneiden,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,4,96,0,1
5,als,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,96,0,1
6,Symptom,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,96,0,1
7,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,66,31,0,1
8,zweigeschlechtlichen,0.0,0,0,20,0,0,0,0,0,0,0,0,12,4,31,0,1
9,Weltbildes,0.1,1,0,10,0,0,0,0,0,0,0,0,12,4,31,0,1
10,Transsexuelle,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,38,173,0,0
11,befinden,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,173,0,0
12,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,173,0,0
13,prinzipiell,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,173,0,0
14,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
15,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,173,0,0
16,Weg,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
17,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,173,0,0
18,Richtung,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,173,0,0
19,ei­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
20,ner,0.0,0,0,3,0,0,0,0,0,0,0,0,8,38,20,0,0
21,Anpassung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
22,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
23,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
24,Normen:,0.14285714285714285,1,0,7,0,0,1,0,0,0,0,0,8,4,20,0,0
25,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
26,wollen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
27,"sich,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
28,folgen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
29,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
30,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
31,klini­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
32,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,38,20,0,0
33,Definition,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
34,ihres,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
35,"Zustandes,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
36,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
37,geschlechtsangkichenden,0.0,0,0,23,0,0,0,0,0,0,0,0,8,2,20,1,0
38,Ope­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
39,ration,0.0,0,0,6,0,0,0,0,0,0,0,0,8,38,20,0,0
40,unterziehen.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,20,0,0
41,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
42,normativen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
43,Vorgaben,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
44,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
45,Denkfiguren,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
46,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
47,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,8,38,20,0,0
48,Bestrebung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
49,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
50,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
51,Wurzeln,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
52,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
53,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
54,"Gesellschaft,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,20,0,0
55,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
56,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
57,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,38,20,0,0
58,Transsexuellen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,20,0,0
59,hervorbringt,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
60,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,20,0,0
61,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
62,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
63,"Möglichkeit,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
64,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
65,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
66,chir­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
67,urgischen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,38,20,0,0
68,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
69,gesellschaftlich,0.0,0,0,16,0,0,0,0,0,0,0,0,8,4,20,0,0
70,akzeptierten,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
71,Lösung,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
72,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
73,erreichbares,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
74,Lösungsmittel,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,38,20,0,0
75,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
76,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
77,quälenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
78,psychischen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
79,Zustand,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
80,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
81,Abwei­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
82,chung,0.0,0,0,5,0,0,0,0,0,0,0,0,8,38,20,0,0
83,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
84,"sehen,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
85,bedeutet,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
86,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
87,viele,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
88,Transsexuelle,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,20,0,0
89,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
90,heilende,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
91,Ret­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
92,tung.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,38,20,0,0
93,Die:,0.25,1,0,4,0,0,1,0,0,0,0,0,8,4,20,0,0
94,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
95,unweigerlich,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
96,auftauchende,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
97,Dialektik,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
98,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
99,Konstruk­,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
100,tion,0.0,0,0,4,0,0,0,0,0,0,0,0,8,38,20,0,0
101,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
102,erst,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
103,postoperativ,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,20,0,0
104,Leben-Könnens,0.15384615384615385,1,0,13,0,0,0,0,0,0,0,0,8,4,20,0,0
105,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
106,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
107,Operations­,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
108,zwangs,0.0,0,0,6,0,0,0,0,0,0,0,0,8,38,20,0,0
109,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
110,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
111,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
112,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
113,nonnakn,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,1,0
114,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
115,einseitig,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
116,positiv,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
117,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
118,sehen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,38,20,0,0
119,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
120,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
121,Transsexuellen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
122,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,20,0,0
123,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,20,0,0
124,problematischen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,4,20,0,0
125,Ganzheit,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
126,quasi,0.0,0,0,5,0,0,0,0,0,0,0,0,8,38,20,0,0
127,privat,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
128,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
129,somit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
130,unsichtbar,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
131,aufgebürdet.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,20,0,0
132,Nonnale,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,1,0
133,Nichttransse­,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,20,0,0
134,xuelle,0.0,0,0,6,0,0,0,0,0,0,0,0,8,38,20,0,0
135,können,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
136,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
137,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
138,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
139,heilen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
140,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
141,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
142,Zweigeschlechtlichkeit,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,2,20,0,0
143,verbleiben,0.0,0,0,10,0,0,0,0,0,0,0,0,8,38,20,0,0
144,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
145,zudem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
146,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
147,bedrohliches,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,20,0,0
148,Symptom,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
149,derselben,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
150,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,20,0,0
151,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
152,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,38,20,0,0
153,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,20,0,0
