,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Chrisüane,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,136,65,0,0
1,Schmer!,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,2,65,0,0
2,Geschlechterbilder,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,12,48,93,0,1
3,im,0.0,0,0,2,0,0,0,0,0,0,0,0,12,3,93,0,1
4,Wissenschaftsspiel:,0.05263157894736842,1,0,19,0,0,1,0,0,0,0,0,12,5,93,0,1
5,Genutzte,0.125,1,0,8,0,0,0,0,0,0,0,0,9,68,113,0,1
6,Chancen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,113,0,1
7,versus,0.0,0,0,6,0,0,0,0,0,0,0,0,9,2,113,0,1
8,verlorene,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,113,0,1
9,Selbstachtung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,2,113,0,1
10,Nach,0.25,1,0,4,0,0,0,0,0,0,0,0,8,36,171,0,0
11,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,171,0,0
12,100,0.0,0,0,3,3,0,0,0,0,0,0,1,8,3,171,0,0
13,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,171,0,0
14,Zulassung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,171,0,0
15,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,171,0,0
16,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,171,0,0
17,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,171,0,0
18,Universitätsstudi­,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,3,171,0,0
19,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,36,20,0,0
20,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
21,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
22,europäischen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
