,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Roswitha,0.125,1,0,8,0,0,0,0,0,0,0,0,9,141,68,0,0
1,Scholz,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,68,0,0
2,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,122,96,0,1
3,Verwilderung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,4,96,0,1
4,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,65,30,0,1
5,Patriarchats,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,4,30,0,1
6,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,30,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,30,0,1
8,Postmoderne1,0.08333333333333333,1,0,12,1,0,0,0,0,0,0,0,13,4,30,0,1
9,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,173,178,0,0
10,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,37,198,0,0
11,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,198,0,0
12,zweiten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,198,0,0
13,Hälfte,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,198,0,0
14,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,198,0,0
15,80er,0.0,0,0,4,2,0,0,0,0,0,0,0,8,3,198,0,0
16,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,198,0,0
17,waren,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,198,0,0
18,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,198,0,0
19,Prognosen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,198,0,0
20,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,198,0,0
21,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,198,0,0
22,Abbau,0.2,1,0,5,0,0,0,0,0,0,0,0,8,37,20,0,0
23,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
24,geschlechtlichen,0.0,0,0,16,0,0,0,0,0,0,0,0,8,3,20,0,0
25,Hierarchien,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
27,Benachteiligungen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,3,20,0,0
28,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
29,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,37,20,0,0
30,günstig.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
31,Man,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
32,ging,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
33,davon,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
34,"aus,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
35,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
36,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
37,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
38,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
39,Zuge,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
40,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
41,Tendenzen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,37,20,0,0
42,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
43,Individualisierung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,4,20,0,0
44,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
45,Zuwachs,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
46,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
47,Handlungs­,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
48,möglichkeiten,0.0,0,0,13,0,0,0,0,0,0,0,0,8,37,20,0,0
49,indirekt,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
50,proportional,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
51,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
52,Zerfall,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
53,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
54,Kleinfamilie,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
55,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
56,wonnen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,37,20,0,0
57,hätten.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
58,Manche,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
59,Deutungen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
60,gingen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
61,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
62,sogar,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
63,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
64,"weit,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
65,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
66,jetzt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,37,20,0,0
67,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
68,Individuen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
69,wählen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
70,"könnten,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
71,ob,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
72,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
73,Männlein,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
74,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
75,Weiblein,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
76,sein,0.0,0,0,4,0,0,0,0,0,0,0,0,8,37,20,0,0
77,wollen.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
78,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
79,paar,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
80,Hausmänner,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
81,machten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
82,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
83,Novum,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
84,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
85,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
86,auf­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
87,merksam,0.0,0,0,7,0,0,0,0,0,0,0,0,8,37,20,0,0
88,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
89,verbreiteten,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
90,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
91,"Hoffnung,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
92,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
93,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
94,vielleicht,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
95,bald,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
96,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
97,Großtrend,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,37,20,0,0
98,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
99,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
100,Sinne,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
101,zeigen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
102,könnte.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
103,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
104,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
105,80ern,0.0,0,0,5,2,0,0,0,0,0,0,0,8,2,20,0,0
106,galten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
107,gleich­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
108,zeitig,0.0,0,0,6,0,0,0,0,0,0,0,0,8,37,20,0,0
109,Tendenzen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
110,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
111,"""neuen",0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
112,Weiblichkeit«,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,20,0,0
113,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
114,Ausdruck,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
115,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
116,konser­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
117,vativ-liberalen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,37,20,0,0
118,Wende.,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,20,0,0
119,Allerdings,0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,20,0,0
120,gab,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
121,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,20,0,0
122,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,20,0,0
123,"wenige,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,20,0,0
124,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
125,mut­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
126,"maßten,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,37,20,0,0
127,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
128,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
129,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
130,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
131,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
132,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
133,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
134,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
135,Simulation,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
136,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
137,modernen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
138,Weiblichkeit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,37,20,0,0
139,handeln,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
140,würde.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
141,Demgegenüber,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,54,20,0,0
142,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
143,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
144,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
145,90ern,0.0,0,0,5,2,0,0,0,0,0,0,0,8,4,20,0,0
146,vom,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
147,"""Backlash«",0.1,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
148,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
149,Rede.,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
150,Er­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
151,nüchterung,0.0,0,0,10,0,0,0,0,0,0,0,0,8,37,20,0,0
152,macht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
153,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
154,breit.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
155,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
156,allgemeine,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
157,Rechtsruck,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
158,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
159,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
