,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Rita,0.25,1,0,4,0,0,0,0,0,0,0,0,9,156,65,0,0
1,Seitz,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,65,0,0
2,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,45,93,0,1
3,Männliche,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,4,93,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,93,0,1
5,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,93,0,1
6,lesbische,0.0,0,0,9,0,0,0,0,0,0,0,0,12,4,93,0,1
7,Sexualität,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,93,0,1
8,Auf,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,37,147,0,0
9,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,147,0,0
10,ersten,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,147,0,0
11,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,147,0,0
12,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,147,0,0
13,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,147,0,0
14,eigentlich,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,147,0,0
15,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,147,0,0
16,ziemlich,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,147,0,0
17,paradoxes,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,147,0,0
18,Unter­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,147,0,0
19,"fangen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,37,20,0,0
20,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
21,Zusammenhang,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
22,lesbischer,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
23,Sexualität,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
24,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
25,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
26,"""Männli­",0.125,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
27,ehen«,0.0,0,0,5,0,0,0,0,0,0,0,0,8,37,20,0,0
28,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
29,diskutieren.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
30,Denn,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
31,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
32,sollte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
33,denn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
34,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
35,lesbische,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
36,Begehren,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
37,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,38,20,0,0
38,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
39,Männlichen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
40,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
41,tun,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
42,"haben,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
43,überhaupt,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
44,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
45,soll,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
46,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
47,Männliche,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
48,sein?,0.0,0,0,5,0,0,0,0,0,0,0,0,8,37,20,0,0
49,Lesbische,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
50,Sexualität,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
51,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
52,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
53,Verlangen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
54,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
55,Frau,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
56,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
57,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
58,"Frau,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
59,also,0.0,0,0,4,0,0,0,0,0,0,0,0,8,37,20,0,0
60,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
61,"Szene,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
62,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
63,ohne,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
64,Mann,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
65,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
66,ohne,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
67,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
68,sogenannte,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
69,Männliche,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
70,auszukommen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,37,20,0,0
71,scheint.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
72,Ganz,0.25,1,0,4,0,0,0,0,0,0,0,0,8,55,20,0,0
73,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
74,Gegensatz,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
75,dazu,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
76,können,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
77,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
78,"beobachten,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
