,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Armin,0.2,1,0,5,0,0,0,0,0,0,0,0,8,145,65,0,0
1,Zemann,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,65,0,0
2,Richtige,0.125,1,0,8,0,0,0,0,0,0,0,0,12,127,94,0,1
3,Männer,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,94,0,1
4,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,8,83,114,0,1
5,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,114,0,1
6,männlicher,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,114,0,1
7,Identitäten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,114,0,1
8,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,114,0,1
9,Lichte,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,114,0,1
10,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,132,130,0,1
11,Theorie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,130,0,1
12,Bourdieus,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,130,0,1
13,»Ein,0.25,0,0,4,0,0,0,0,0,0,0,0,7,99,186,0,0
14,grundsätzliches,0.0,0,0,15,0,0,0,0,0,0,0,0,7,2,186,0,0
15,Problem,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,186,0,0
16,scheint,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,186,0,0
17,darin,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,186,0,0
18,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,186,0,0
19,"bestehen,",0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,186,0,0
20,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,186,0,0
21,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,186,0,0
22,Leute,0.2,1,0,5,0,0,0,0,0,0,0,0,7,144,17,0,0
23,soziale,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
24,Konstruktionen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,7,2,17,0,0
25,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,17,0,0
26,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,1,17,0,0
27,Beziehung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,17,0,0
28,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,17,0,0
29,Handlungsfähigkeit,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,7,117,17,0,0
30,denken,0.0,0,0,6,0,0,0,0,0,0,0,0,7,2,17,0,0
31,können«,0.0,0,0,7,0,0,0,0,0,0,0,0,7,3,17,0,0
32,(Judith,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
33,"Butler,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
34,1996).,0.0,0,0,6,4,0,0,0,0,0,0,0,7,2,17,0,0
35,Judith,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,38,244,0,0
36,Butler,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,244,0,0
37,überraschte,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,244,0,0
38,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,244,0,0
39,IdentitätsexpertInnen,0.09523809523809523,1,0,21,0,0,0,0,0,0,0,0,8,2,244,0,0
40,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,244,0,0
41,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,244,0,0
42,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,244,0,0
43,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,38,20,0,0
44,Geschlechterverhältnis,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,6,20,0,0
45,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
46,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,6,20,0,0
47,"These,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,20,0,0
48,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
49,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,20,0,0
50,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
51,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
52,schlechtliche,0.0,0,0,13,0,0,0,0,0,0,0,0,8,38,20,0,0
53,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
54,sozial,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
55,konstruiert,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
56,sei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
57,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
58,drehte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
59,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
60,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
61,bisher,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
62,angenommene,0.0,0,0,11,0,0,0,0,0,0,0,0,8,38,20,0,0
63,Ursache-Wirkungs-Verhältnis,0.1111111111111111,1,0,27,0,0,0,0,0,0,0,0,8,5,20,0,0
64,einfach,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,20,0,0
65,um.,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
66,Ohne,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
67,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,20,0,0
68,"wissen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,38,20,0,0
69,ob,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
70,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
71,Butler,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
72,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
73,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
74,nachfolgend,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
75,explizierten,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
76,Weise,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
77,verstan­,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
78,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,38,20,0,0
79,wissen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
80,"will,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
81,findet,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
82,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
83,Butlersche,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
84,These,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
85,meines,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
86,Erachtens,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
87,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
88,Unterstützung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,38,20,0,0
89,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
90,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
91,Theorie,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
92,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
93,französischen,0.0,0,0,13,0,0,0,0,0,0,0,0,8,4,20,0,0
94,Soziologen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,20,0,0
95,Pierre,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
96,"Bourdieus,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,38,20,0,0
97,weil,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
98,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
99,seiner,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
100,Analyse,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
101,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
