,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,117,65,0,0
1,Ahbe,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,65,0,0
2,&,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,65,0,0
3,Monika,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,65,0,0
4,Gibas,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,65,0,0
5,Erbschaft,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,125,93,0,1
6,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,12,3,93,0,1
7,Zeit,0.25,1,0,4,0,0,0,0,0,0,0,0,12,4,93,0,1
8,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,83,113,0,1
9,Persistenz,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,113,0,1
10,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,113,0,1
11,sozialistischen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,2,113,0,1
12,Metaerzählung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,113,0,1
13,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,131,23,0,1
14,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,23,0,1
15,Systemwechsel,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,23,0,1
16,Metaerzählungen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,84,198,0,0
17,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,198,0,0
18,Identitätkonstruktionen,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,8,3,198,0,0
19,Metaerzählungen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,44,219,0,0
20,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,219,0,0
21,Sozialisationsinstanzen.,0.041666666666666664,1,0,24,0,0,0,0,0,0,0,0,8,4,219,0,0
22,Ihre,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,219,0,0
23,sozialisatorische,0.0,0,0,17,0,0,0,0,0,0,0,0,8,4,219,0,0
24,Wirkung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,44,20,0,0
25,offenbart,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
26,"sich,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
27,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
28,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
29,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
30,sozialpsychologischer,0.0,0,0,21,0,0,0,0,0,0,0,0,8,2,20,0,0
31,Perspek­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,1,20,0,0
32,tive,0.0,0,0,4,0,0,0,0,0,0,0,0,8,44,20,0,0
33,personale,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
34,Identitätsbildung,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,3,20,0,0
35,untersucht.,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
36,Identitätsarbeit,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,20,0,0
37,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
38,jener,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
39,selbstreflexive,0.0,0,0,15,0,0,0,0,0,0,0,0,8,44,20,0,0
40,"Prozeß,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
41,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
42,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
43,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
44,innere,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
46,äußere,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
47,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
48,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
49,Sub­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
50,jektes,0.0,0,0,6,0,0,0,0,0,0,0,0,8,44,20,0,0
51,vermittelt,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
52,wird.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
53,Dabei,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
54,müssen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
55,"verschiedene,",0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,20,0,0
56,einander,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
57,oft,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,20,0,0
58,über­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
59,lagernde,0.0,0,0,8,0,0,0,0,0,0,0,0,8,44,20,0,0
60,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
61,ausschließende,0.0,0,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
62,Bedürfnisse,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,20,0,0
63,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
64,Handlungsanforde­,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,5,20,0,0
65,rungen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,44,20,0,0
66,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,20,0,0
67,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
68,Passungsverhältnis,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,4,20,0,0
69,gebracht,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
70,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
71,Wichtige,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
72,Ziele,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
73,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,44,20,0,0
74,Identitätsarbeit,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,20,0,0
75,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
76,individuelle,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
77,Handlungsfahigkeit,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,3,20,0,0
78,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
79,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
80,Anerkennung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,43,20,0,0
81,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
82,Zugehörigkeit,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,20,0,0
83,innerhalb,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
84,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
