,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Dagmar,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,107,68,0,0
1,Fink,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,68,0,0
2,&,0.0,0,0,1,0,0,0,0,0,0,0,0,9,3,68,0,0
3,Anne,0.25,1,0,4,0,0,0,0,0,0,0,0,9,1,68,0,0
4,Scheidhauer,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,68,0,0
5,Verheißungsvolle,0.0625,1,0,16,0,0,0,0,0,0,0,0,12,90,96,0,1
6,Irritationen:,0.07692307692307693,1,0,13,0,0,1,0,0,0,0,0,12,4,96,0,1
7,Eine,0.25,1,0,4,0,0,0,0,0,0,0,0,12,50,30,0,1
8,feministische,0.0,0,0,13,0,0,0,0,0,0,0,0,12,3,30,0,1
9,Auseinandersetzung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,12,4,30,0,1
10,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,30,0,1
11,unterschiedlichen,0.0,0,0,17,0,0,0,0,0,0,0,0,12,76,30,0,1
12,Cyborg,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,30,0,1
13,Fictions1,0.1111111111111111,1,0,9,1,0,0,0,0,0,0,0,12,4,30,0,1
14,1985,0.0,0,0,4,4,0,0,0,0,0,1,1,8,42,197,0,0
15,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,197,0,0
16,Donna,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,197,0,0
17,Haraway,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,197,0,0
18,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,197,0,0
19,Text,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,197,0,0
20,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,197,0,0
21,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,197,0,0
22,Titel,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,197,0,0
23,»A,0.5,0,0,2,0,0,0,0,0,0,0,0,8,3,197,0,0
24,Manifesto,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,197,0,0
25,for,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,197,0,0
26,Cyborgs:,0.125,1,0,8,0,0,1,0,0,0,0,0,8,41,20,0,0
27,"Science,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
28,"Technology,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
29,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
30,Socialist,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
31,Feminism,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
32,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
33,the,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
34,1980s«,0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,20,0,0
35,vorgelegt.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,41,20,0,0
36,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
37,Text,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
38,beinhaltet,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
39,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
