,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Barbara,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,152,67,0,0
1,Juen,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,67,0,0
2,Kann,0.25,1,0,4,0,0,0,0,0,0,0,0,13,116,96,0,1
3,man,0.0,0,0,3,0,0,0,0,0,0,0,0,13,5,96,0,1
4,von,0.0,0,0,3,0,0,0,0,0,0,0,0,13,4,96,0,1
5,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,13,4,96,0,1
6,erzähltheoretischen,0.0,0,0,19,0,0,0,0,0,0,0,0,13,49,31,0,1
7,Standpunkt,0.1,1,0,10,0,0,0,0,0,0,0,0,13,4,31,0,1
8,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,13,3,31,0,1
9,gültige,0.0,0,0,7,0,0,0,0,0,0,0,0,13,4,31,0,1
10,moralische,0.0,0,0,10,0,0,0,0,0,0,0,0,13,84,31,0,1
11,Normen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,13,4,31,0,1
12,definieren?',0.0,0,0,12,0,0,0,0,0,0,0,0,13,4,31,0,1
13,Einleitung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,159,189,0,0
14,.,0.0,0,0,1,0,0,0,0,0,0,0,0,8,38,209,0,0
15,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,1,209,0,0
16,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,209,0,0
17,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,209,0,0
18,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,209,0,0
19,Moralentwicklung,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,209,0,0
20,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,209,0,0
21,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,209,0,0
22,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,209,0,0
23,Entwicklungspsycho­,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,2,209,0,0
24,logie,0.0,0,0,5,0,0,0,0,0,0,0,0,8,41,20,0,0
25,bereits,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
26,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
27,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
28,30er,0.0,0,0,4,2,0,0,0,0,0,0,0,8,3,20,0,0
29,"Jahren,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
30,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
31,Piaget,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
32,seine,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
33,Überlegungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
34,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
35,Entwicklung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,41,20,0,0
36,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
37,moralischen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
38,Urteils,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
39,beim,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
40,Kind,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
