,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Eckart,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,153,69,0,0
1,Leiser,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,69,0,0
2,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,55,97,0,1
3,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,97,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,97,0,1
5,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,97,0,1
6,Konstruktion,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,4,97,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,97,0,1
8,Zeit.,0.2,1,0,5,0,0,0,0,0,0,0,0,12,3,97,0,1
9,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,87,30,0,1
10,psychoanalytischer,0.0,0,0,18,0,0,0,0,0,0,0,0,12,4,30,0,1
11,Zugang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,3,30,0,1
12,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,41,175,0,0
13,»Notiz,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,8,4,175,0,0
14,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,175,0,0
15,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,175,0,0
16,Wunderblock«,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,175,0,0
17,(aus,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,175,0,0
18,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,175,0,0
19,Jahr,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,175,0,0
20,"1925),",0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,175,0,0
21,m.E.,0.25,0,0,4,0,0,0,0,0,0,0,0,8,3,175,0,0
22,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,175,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,41,20,0,0
24,paradigmatischen,0.0,0,0,16,0,0,0,0,0,0,0,0,8,4,20,0,0
25,Texte,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
26,"Freuds,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,1,0
27,erschließt,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
28,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
29,ganz,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
30,unerwartet,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
31,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,41,21,0,0
32,konstruktivistische,0.0,0,0,19,0,0,0,0,0,0,0,0,8,3,21,0,0
33,Betrachtungsweise,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,3,21,0,0
34,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
35,psychischen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
36,Apparats,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
37,beim,0.0,0,0,4,0,0,0,0,0,0,0,0,8,41,20,0,0
38,Menschen.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
39,Unter,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
40,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
41,"Fragestellungen,",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,4,20,0,0
42,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
43,Freud,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,1,0
44,(1975),0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,20,0,0
45,dort,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
46,"berührt,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,41,20,0,0
47,interessiert,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
48,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
49,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
50,am,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
51,meisten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
52,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
53,Kategorie,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
54,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
55,Zeit.,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
56,Aus­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
