,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Rezensionen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,141,67,0,1
1,Wolfgang,0.125,1,0,8,0,0,0,0,0,0,0,0,7,260,120,0,0
2,Kraus,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,120,0,0
3,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,245,20,0,1
4,erzählte,0.0,0,0,8,0,0,0,0,0,0,0,0,7,2,20,0,1
5,Selbst.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,20,0,1
6,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,95,19,0,1
7,narrative,0.0,0,0,9,0,0,0,0,0,0,0,0,7,3,19,0,1
8,Konstruktion,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,19,0,1
9,von,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,19,0,1
10,Identität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,3,19,0,1
11,in,0.0,0,0,2,0,0,0,0,0,0,0,0,7,3,19,0,1
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,19,0,1
13,Spätmodeme,0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,19,0,1
14,Pfaffenweiler,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,131,17,0,0
15,1996:,0.0,0,0,5,4,0,1,0,0,0,0,0,7,2,17,0,0
16,"Centaurus,",0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,17,0,0
17,264,0.0,0,0,3,3,0,0,0,0,0,0,1,7,3,17,0,0
18,"Seiten,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,17,0,0
19,48,0.0,0,0,2,2,0,0,0,0,0,0,1,7,3,17,0,0
20,DM,1.0,1,0,2,0,0,0,0,0,0,0,0,7,3,17,0,0
21,»,0.0,0,0,1,0,0,0,0,0,0,0,0,5,40,192,0,0
22,•••,0.0,0,0,3,0,0,0,0,0,0,0,0,5,1,192,0,0
23,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,192,0,0
24,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,192,0,0
25,wurde,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,192,0,0
26,"ich,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,192,0,0
27,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,192,0,0
28,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,192,0,0
29,heute,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,192,0,0
30,bin;,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,192,0,0
31,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,192,0,0
32,kam,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,192,0,0
33,"es,",0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,192,0,0
34,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,192,0,0
35,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,192,0,0
36,gekommen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,192,0,0
37,ist«.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,40,20,0,0
38,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
39,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
40,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
41,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,20,0,0
42,oft,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
43,unausgesprochene,0.0,0,0,16,0,0,0,0,0,0,0,0,8,3,20,0,0
44,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,20,0,0
45,Schlußpunkt,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
46,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
47,klassi­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
48,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,40,20,0,0
49,"Selbstnarration,",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,4,20,0,0
50,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
51,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
52,"also,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
53,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
54,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
