,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,____________,0.0,0,0,12,0,0,0,0,0,0,0,0,6,34,28,0,0
1,Rezensionen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,6,4,28,0,0
2,_,0.0,0,0,1,0,0,0,0,0,0,0,0,6,302,28,0,0
3,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,52,66,0,0
4,drei,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,66,0,0
5,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,66,0,0
6,Kraus,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,66,1,0
7,beschriebenen,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,66,0,0
8,Narrationstypen,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,3,66,0,0
9,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,66,0,0
10,heuri­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,66,0,0
11,stischen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,35,20,0,0
12,Charakter.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
13,Mit,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
14,ihnen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
15,liefert,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
16,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
17,Autor,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
18,sensibel,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
19,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
20,zielsicher,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
21,handhabbare,0.0,0,0,11,0,0,0,0,0,0,0,0,8,35,20,0,0
22,Instrumente,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
23,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
24,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
25,postmodernen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,20,0,0
26,Umbau,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
27,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
28,Moder­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
29,ne,0.0,0,0,2,0,0,0,0,0,0,0,0,8,35,20,0,0
30,Rechnung,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
31,tragen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
32,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
33,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
35,Deutung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
36,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
37,autobiografischen,0.0,0,0,17,0,0,0,0,0,0,0,0,8,3,20,0,0
38,Se­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
39,"quenzen,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,35,20,0,0
40,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
41,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
42,Interpretation,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
43,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
44,Selbstnarrationen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,4,20,0,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
46,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
47,Re­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
48,konstruktion,0.0,0,0,12,0,0,0,0,0,0,0,0,8,35,20,0,0
49,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
50,ihnen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
51,zugrunde,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
52,liegenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
53,Anforderungsstrukturen,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,8,3,20,0,0
54,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,35,20,0,0
55,gute,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
56,Dienste,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
57,leisten.,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
58,Literatur,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,35,174,0,0
59,Jugend,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,34,18,0,0
60,'97.,0.0,0,0,4,2,0,0,0,0,0,0,1,7,4,18,0,0
61,Jugendwerk,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,18,0,0
62,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,0
63,Deutschen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,4,18,0,0
64,Shell,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,18,0,0
65,"(Hrsg.),",0.125,0,0,8,0,0,0,0,0,0,0,0,7,3,18,0,0
66,(1997).,0.0,0,0,7,4,0,0,0,0,0,0,0,7,3,18,0,0
67,Zukunftsper­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,7,3,18,0,0
68,"spektiven,",0.0,0,0,10,0,0,0,0,0,0,0,0,7,52,18,0,0
69,Gesellschaftliches,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,7,5,18,0,0
70,"Engagement,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,7,5,18,0,0
71,Politische,0.1,1,0,10,0,0,0,0,0,0,0,0,7,5,18,0,0
72,Orientierungen.,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,7,4,18,0,0
73,Opladen.,0.125,1,0,8,0,0,0,0,0,0,0,0,7,51,18,0,0
74,"Keupp,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,35,18,0,0
