,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Klaus,0.2,1,0,5,0,0,0,0,0,0,0,0,9,154,68,0,0
1,Weber,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,68,0,0
2,Erinnerte,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,121,96,0,1
3,Ohnmacht,0.125,1,0,8,0,0,0,0,0,0,0,0,12,4,96,0,1
4,als,0.0,0,0,3,0,0,0,0,0,0,0,0,12,94,31,0,1
5,professionelles,0.0,0,0,15,0,0,0,0,0,0,0,0,12,4,31,0,1
6,Konstrukt,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,4,31,0,1
7,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,153,177,0,0
8,Erinnerung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,177,0,0
9,Erzählungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,42,197,0,0
10,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,197,0,0
11,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,197,0,0
12,Inhalt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,197,0,0
13,unserer,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,197,0,0
14,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,197,0,0
15,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,197,0,0
16,unseres,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,197,0,0
17,Lebens,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,197,0,0
18,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,197,0,0
19,ben,0.0,0,0,3,0,0,0,0,0,0,0,0,8,42,20,0,0
20,meist,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
21,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
22,"wieder,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
23,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
24,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
