,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,8,150,74,0,0
1,Bründl,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,74,0,0
2,Trauma,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,88,102,0,1
3,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,102,0,1
4,Überlebenskunst,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,5,102,0,1
5,»Wer,0.25,0,0,4,0,0,0,0,0,0,0,0,6,55,155,0,0
6,gefoltert,0.0,0,0,9,0,0,0,0,0,0,0,0,6,2,155,0,0
7,"wurde,",0.0,0,0,6,0,0,0,0,0,0,0,0,6,2,155,0,0
8,bleibt,0.0,0,0,6,0,0,0,0,0,0,0,0,6,3,155,0,0
9,gefoltert.,0.0,0,0,10,0,0,0,0,0,0,0,0,6,2,155,0,0
10,Wer,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,2,155,0,0
11,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,155,0,0
12,Folter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,3,155,0,0
13,"erlag,",0.0,0,0,6,0,0,0,0,0,0,0,0,6,2,155,0,0
14,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,6,3,155,0,0
15,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,155,0,0
16,hei­,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,155,0,0
17,misch,0.0,0,0,5,0,0,0,0,0,0,0,0,6,55,17,0,0
18,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,6,2,17,0,0
19,in,0.0,0,0,2,0,0,0,0,0,0,0,0,6,3,17,0,0
20,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
21,Welt.,0.2,1,0,5,0,0,0,0,0,0,0,0,6,2,17,0,0
22,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
23,Schmach,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,6,2,17,0,0
24,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
25,Vernichtung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,6,2,17,0,0
26,läßt,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,17,0,0
27,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,17,0,0
28,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,17,0,0
29,aus­,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,17,0,0
30,tilgen.,0.0,0,0,7,0,0,0,0,0,0,0,0,6,55,17,0,0
31,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,4,17,0,0
32,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
33,Teil,0.25,1,0,4,0,0,0,0,0,0,0,0,6,3,17,0,0
34,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,17,0,0
35,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,6,4,17,0,0
36,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
37,ersten,0.0,0,0,6,0,0,0,0,0,0,0,0,6,3,17,0,0
38,"Schlag,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,6,3,17,0,0
39,in,0.0,0,0,2,0,0,0,0,0,0,0,0,6,4,17,0,0
40,vollem,0.0,0,0,6,0,0,0,0,0,0,0,0,6,3,17,0,0
41,Umfang,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,4,17,0,0
42,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,6,3,17,0,0
43,schließlich,0.0,0,0,11,0,0,0,0,0,0,0,0,6,55,17,0,0
44,in,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,17,0,0
45,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
46,Tortur,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,2,17,0,0
47,eingestürzte,0.0,0,0,12,0,0,0,0,0,0,0,0,6,2,17,0,0
48,Weltvertrauen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,6,2,17,0,0
49,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,6,3,17,0,0
50,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,17,0,0
51,wiedergewon­,0.0,0,0,12,0,0,0,0,0,0,0,0,6,2,17,0,0
52,nen.'<,0.0,0,0,6,0,0,0,0,0,0,0,0,6,55,17,0,0
53,Jean,0.25,1,0,4,0,0,0,0,0,0,0,0,6,55,17,0,0
54,Amery,0.2,1,0,5,0,0,0,0,0,0,0,0,6,2,17,0,0
55,»niemand,0.0,0,0,8,0,0,0,0,0,0,0,0,6,55,233,0,0
56,knetet,0.0,0,0,6,0,0,0,0,0,0,0,0,6,3,233,0,0
57,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,233,0,0
58,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,233,0,0
59,"Lehm,",0.2,1,0,5,0,0,0,0,0,0,0,0,6,2,233,0,0
60,niemand,0.0,0,0,7,0,0,0,0,0,0,0,0,6,2,233,0,0
61,bespricht,0.0,0,0,9,0,0,0,0,0,0,0,0,6,3,233,0,0
62,unseren,0.0,0,0,7,0,0,0,0,0,0,0,0,6,2,233,0,0
63,Staub«,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,3,233,0,0
64,Paul,0.25,1,0,4,0,0,0,0,0,0,0,0,6,55,17,0,0
65,Celan,0.2,1,0,5,0,0,0,0,0,0,0,0,6,2,17,0,0
66,»Nimmt,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,6,55,269,0,0
67,"er,",0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,269,0,0
68,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,269,0,0
69,Künstler,0.125,1,0,8,0,0,0,0,0,0,0,0,6,2,269,0,0
70,von,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,269,0,0
71,"heute,",0.0,0,0,6,0,0,0,0,0,0,0,0,6,3,269,0,0
72,seine,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,269,0,0
73,Kunst,0.2,1,0,5,0,0,0,0,0,0,0,0,6,3,269,0,0
74,"ernst,",0.0,0,0,6,0,0,0,0,0,0,0,0,6,2,269,0,0
75,so,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,269,0,0
76,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,269,0,0
77,er,0.0,0,0,2,0,0,0,0,0,0,0,0,6,3,269,0,0
78,gezwungen,0.0,0,0,9,0,0,0,0,0,0,0,0,6,2,269,0,0
79,"sein,",0.0,0,0,5,0,0,0,0,0,0,0,0,6,55,17,0,0
80,die,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
81,Quellen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,6,2,17,0,0
82,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
83,Fruchtbarkeit,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,6,2,17,0,0
84,im,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,17,0,0
85,"Negativen,",0.1,1,0,10,0,0,0,0,0,0,0,0,6,3,17,0,0
86,im,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,17,0,0
87,Leiden,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,3,17,0,0
88,und,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
89,in,0.0,0,0,2,0,0,0,0,0,0,0,0,6,3,17,0,0
90,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
91,Iden­,0.2,1,0,5,0,0,0,0,0,0,0,0,6,2,17,0,0
92,tifikation,0.0,0,0,10,0,0,0,0,0,0,0,0,6,55,17,0,0
93,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
94,den,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
95,Leidenden,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,6,3,17,0,0
96,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,6,3,17,0,0
97,finden,0.0,0,0,6,0,0,0,0,0,0,0,0,6,3,17,0,0
98,...,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
99,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
100,Leiden,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,3,17,0,0
101,überfällt,0.0,0,0,9,0,0,0,0,0,0,0,0,6,3,17,0,0
102,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
103,als,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
104,Befehl,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,3,17,0,0
105,und,0.0,0,0,3,0,0,0,0,0,0,0,0,6,55,17,0,0
106,das,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
107,feierliche,0.0,0,0,10,0,0,0,0,0,0,0,0,6,2,17,0,0
108,Protestieren,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,6,3,17,0,0
109,dagegen:,0.0,0,0,8,0,0,1,0,0,0,0,0,6,3,17,0,0
110,das,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
111,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
112,heute,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,17,0,0
113,"Kunst,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,3,17,0,0
114,etwas,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,17,0,0
115,anderes,0.0,0,0,7,0,0,0,0,0,0,0,0,6,3,17,0,0
116,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,6,55,17,0,0
117,es,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,17,0,0
118,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,6,2,17,0,0
119,sein.«,0.0,0,0,6,0,0,0,0,0,0,0,0,6,2,17,0,0
120,Imre,0.25,1,0,4,0,0,0,0,0,0,0,0,6,55,17,0,0
121,Kertesz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,6,2,17,0,0
122,Wir,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,38,348,0,0
123,nähern,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,348,0,0
124,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,348,0,0
125,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,348,0,0
126,Ende,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,348,0,0
127,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,348,0,0
128,"Jahrhunderts,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,348,0,0
129,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,348,0,0
130,dessen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,348,0,0
131,Beginn,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,348,0,0
132,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,348,0,0
133,jugend,0.0,0,0,6,0,0,0,0,0,0,0,0,8,38,20,0,0
134,bewegte,0.0,0,0,7,0,0,0,0,0,0,0,0,8,0,20,0,0
135,Avantgarde,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
136,angenommen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,20,0,0
137,"hatten,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
138,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
139,würde,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
140,das»,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
141,Jahr­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,0,20,0,0
142,hundert,0.0,0,0,7,0,0,0,0,0,0,0,0,8,38,20,0,0
143,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
144,Kindes«,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
145,"werden,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,20,0,0
146,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
147,"Jahrhundert,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,20,0,0
148,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
149,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
150,frei,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
151,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
152,liebe­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
153,voll,0.0,0,0,4,0,0,0,0,0,0,0,0,8,38,20,0,0
154,erzogene,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
155,Kinder,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
156,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
157,erwachsenen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
158,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
159,"heranwachsen,",0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,20,0,0
160,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
161,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,38,20,0,0
162,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
163,Mitmenschen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
164,menschlich,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
165,umgehen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
