,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Lydia,0.2,1,0,5,0,0,0,0,0,0,0,0,8,142,74,0,0
1,Hantke,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,74,0,0
2,Paulas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,120,102,0,1
3,Labyrinth,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,4,102,0,1
4,Vom,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,41,122,0,1
5,Versuch,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,122,0,1
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,122,0,1
7,Integration,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,122,0,1
8,traumatisierender,0.0,0,0,17,0,0,0,0,0,0,0,0,9,2,122,0,1
9,Erfahrungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,2,122,0,1
10,Lange,0.2,1,0,5,0,0,0,0,0,0,0,0,6,78,179,0,0
11,war,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,179,0,0
12,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,179,0,0
13,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,179,0,0
14,zwei.,0.0,0,0,5,0,0,0,0,0,0,0,0,6,2,179,0,0
15,Kein,0.25,1,0,4,0,0,0,0,0,0,0,0,6,3,179,0,0
16,Abgleich,0.125,1,0,8,0,0,0,0,0,0,0,0,6,3,179,0,0
17,möglich.,0.0,0,0,8,0,0,0,0,0,0,0,0,6,2,179,0,0
18,Manchmal,0.125,1,0,8,0,0,0,0,0,0,0,0,6,3,179,0,0
19,"kurz,",0.0,0,0,5,0,0,0,0,0,0,0,0,6,2,179,0,0
20,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,6,85,17,0,0
21,weichem,0.0,0,0,7,0,0,0,0,0,0,0,0,6,2,17,0,0
22,Gefühl,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,2,17,0,0
23,im,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,17,0,0
24,"Gaumen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,6,3,17,0,0
25,gefüllt,0.0,0,0,7,0,0,0,0,0,0,0,0,6,3,17,0,0
26,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
27,"Essensbrei,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,6,2,17,0,0
28,eins.,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,17,0,0
29,ich.,0.0,0,0,4,0,0,0,0,0,0,0,0,6,3,17,0,0
30,Dann,0.25,1,0,4,0,0,0,0,0,0,0,0,6,76,17,0,0
31,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,17,0,0
32,in,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,17,0,0
33,kurzen,0.0,0,0,6,0,0,0,0,0,0,0,0,6,3,17,0,0
34,Momenten,0.125,1,0,8,0,0,0,0,0,0,0,0,6,2,17,0,0
35,jenseits,0.0,0,0,8,0,0,0,0,0,0,0,0,6,2,17,0,0
36,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,6,2,17,0,0
37,"Welt,",0.2,1,0,5,0,0,0,0,0,0,0,0,6,2,17,0,0
38,im,0.0,0,0,2,0,0,0,0,0,0,0,0,6,3,17,0,0
39,Abtauehen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,6,2,17,0,0
40,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,6,174,17,0,0
41,"zweit,",0.0,0,0,6,0,0,0,0,0,0,0,0,6,2,17,0,0
42,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
43,Aufhebung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,6,2,17,0,0
44,aller,0.0,0,0,5,0,0,0,0,0,0,0,0,6,1,17,0,0
45,Grenzen.,0.125,1,0,8,0,0,0,0,0,0,0,0,6,2,17,0,0
46,Paula,0.2,1,0,5,0,0,0,0,0,0,0,0,8,31,244,0,0
47,wirft,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,244,0,0
48,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,244,0,0
49,Kopf,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,244,0,0
50,"zurück,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,244,0,0
51,zieht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,244,0,0
52,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,244,0,0
53,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,244,0,0
54,Zigarette,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,244,0,0
55,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,244,0,0
56,sieht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,244,0,0
57,mir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,244,0,0
58,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,31,20,0,0
59,Moment,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
60,lang,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
61,direkt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
62,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
63,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
64,Augen.,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
65,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
66,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
67,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
68,kantig,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
69,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
70,"scharf,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,31,20,0,0
71,bevor,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
72,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
73,ihn,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
74,schräg,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
75,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
76,unten,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
77,fallen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
78,läßt,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
79,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
80,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
81,kleiner,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
82,Stimme,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,31,20,0,0
83,erzählt!.,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,20,0,0
84,Oder,0.25,1,0,4,0,0,0,0,0,0,0,0,6,48,301,0,0
85,in,0.0,0,0,2,0,0,0,0,0,0,0,0,6,3,301,0,0
86,den,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,301,0,0
87,Verästelungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,6,4,301,0,0
88,fremder,0.0,0,0,7,0,0,0,0,0,0,0,0,6,3,301,0,0
89,"Gedankengebäude,",0.0625,1,0,16,0,0,0,0,0,0,0,0,6,3,301,0,0
90,"klettern,",0.0,0,0,9,0,0,0,0,0,0,0,0,6,3,301,0,0
91,mich,0.0,0,0,4,0,0,0,0,0,0,0,0,6,4,301,0,0
92,ver­,0.0,0,0,4,0,0,0,0,0,0,0,0,6,3,301,0,0
93,"steigen,",0.0,0,0,8,0,0,0,0,0,0,0,0,6,47,17,0,0
94,neue,0.0,0,0,4,0,0,0,0,0,0,0,0,6,4,17,0,0
95,Äste,0.25,1,0,4,0,0,0,0,0,0,0,0,6,3,17,0,0
96,"entdecken,",0.0,0,0,10,0,0,0,0,0,0,0,0,6,3,17,0,0
97,kleine,0.0,0,0,6,0,0,0,0,0,0,0,0,6,4,17,0,0
98,Abzweigungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,6,3,17,0,0
99,aufzeigen.,0.0,0,0,10,0,0,0,0,0,0,0,0,6,3,17,0,0
100,Reine,0.2,1,0,5,0,0,0,0,0,0,0,0,6,4,17,0,0
101,Be­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,4,17,0,0
102,"trachtung,",0.0,0,0,10,0,0,0,0,0,0,0,0,6,48,17,0,0
103,jenseits,0.0,0,0,8,0,0,0,0,0,0,0,0,6,5,17,0,0
104,des,0.0,0,0,3,0,0,0,0,0,0,0,0,6,4,17,0,0
105,unauflöslichen,0.0,0,0,14,0,0,0,0,0,0,0,0,6,4,17,0,0
106,Widerspruchs,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,6,5,17,0,0
107,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,6,4,17,0,0
108,Wille,0.2,1,0,5,0,0,0,0,0,0,0,0,6,5,17,0,0
109,und,0.0,0,0,3,0,0,0,0,0,0,0,0,6,4,17,0,0
110,"Zwang,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,48,17,0,0
111,Ordnung,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,6,3,17,0,0
112,und,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
113,"Chaos,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,6,2,17,0,0
114,Geist,0.2,1,0,5,0,0,0,0,0,0,0,0,6,3,17,0,0
115,und,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
116,Körper.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,6,1,17,0,0
117,Diesseits,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,6,3,17,0,0
118,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
119,Abgründe,0.125,1,0,8,0,0,0,0,0,0,0,0,6,1,17,0,0
120,mei­,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,17,0,0
121,nes,0.0,0,0,3,0,0,0,0,0,0,0,0,6,48,17,0,0
122,Erlebens,0.125,1,0,8,0,0,0,0,0,0,0,0,6,3,17,0,0
123,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
124,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,6,2,17,0,0
125,"anderen,",0.0,0,0,8,0,0,0,0,0,0,0,0,6,3,17,0,0
126,diesseits,0.0,0,0,9,0,0,0,0,0,0,0,0,6,3,17,0,0
127,der,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
128,Höhenflüge,0.1,1,0,10,0,0,0,0,0,0,0,0,6,2,17,0,0
129,in,0.0,0,0,2,0,0,0,0,0,0,0,0,6,3,17,0,0
130,Gedankenge­,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,6,3,17,0,0
131,bäude,0.0,0,0,5,0,0,0,0,0,0,0,0,6,48,17,0,0
132,-,0.0,0,0,1,0,0,0,0,0,0,0,0,6,2,17,0,0
133,diesseits,0.0,0,0,9,0,0,0,0,0,0,0,0,6,4,17,0,0
134,des,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
135,"Lebens,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,6,2,17,0,0
136,das,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
137,in,0.0,0,0,2,0,0,0,0,0,0,0,0,6,2,17,0,0
138,seiner,0.0,0,0,6,0,0,0,0,0,0,0,0,6,3,17,0,0
139,Intensität,0.1,1,0,10,0,0,0,0,0,0,0,0,6,2,17,0,0
140,die,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
141,Gespaltenheit,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,6,2,17,0,0
142,un­,0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
143,empfindbar,0.0,0,0,10,0,0,0,0,0,0,0,0,6,48,17,0,0
144,macht:,0.0,0,0,6,0,0,1,0,0,0,0,0,6,2,17,0,0
145,die,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
146,"Nicht-Identität,",0.125,1,0,16,0,0,0,0,0,0,0,0,6,3,17,0,0
147,zwei.,0.0,0,0,5,0,0,0,0,0,0,0,0,6,4,17,0,0
148,"Denken,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,6,3,17,0,0
149,"sprechen,",0.0,0,0,9,0,0,0,0,0,0,0,0,6,3,17,0,0
150,"lieben,",0.0,0,0,7,0,0,0,0,0,0,0,0,6,3,17,0,0
151,la­,0.0,0,0,3,0,0,0,0,0,0,0,0,6,4,17,0,0
152,"chen,",0.0,0,0,5,0,0,0,0,0,0,0,0,6,48,17,0,0
153,"diskutieren,",0.0,0,0,12,0,0,0,0,0,0,0,0,6,4,17,0,0
154,"streiten,",0.0,0,0,9,0,0,0,0,0,0,0,0,6,4,17,0,0
155,"laufen,",0.0,0,0,7,0,0,0,0,0,0,0,0,6,4,17,0,0
156,weinen:,0.0,0,0,7,0,0,1,0,0,0,0,0,6,4,17,0,0
157,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
158,stehe,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,17,0,0
159,neben,0.0,0,0,5,0,0,0,0,0,0,0,0,6,3,17,0,0
160,mir,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
161,und,0.0,0,0,3,0,0,0,0,0,0,0,0,6,3,17,0,0
162,klage,0.0,0,0,5,0,0,0,0,0,0,0,0,6,2,17,0,0
163,mich,0.0,0,0,4,0,0,0,0,0,0,0,0,6,47,17,0,0
164,"an,",0.0,0,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
165,mache,0.0,0,0,5,0,0,0,0,0,0,0,0,6,2,17,0,0
166,mich,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,17,0,0
167,lustig,0.0,0,0,6,0,0,0,0,0,0,0,0,6,2,17,0,0
168,über,0.0,0,0,4,0,0,0,0,0,0,0,0,6,1,17,0,0
169,"mich,",0.0,0,0,5,0,0,0,0,0,0,0,0,6,1,17,0,0
170,"zweifle,",0.0,0,0,8,0,0,0,0,0,0,0,0,6,2,17,0,0
171,ironisiere:,0.0,0,0,11,0,0,1,0,0,0,0,0,6,3,17,0,0
172,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,6,2,17,0,0
173,soll,0.0,0,0,4,0,0,0,0,0,0,0,0,6,2,17,0,0
174,das,0.0,0,0,3,0,0,0,0,0,0,0,0,6,1,17,0,0
