,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Ulrich,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,147,69,0,0
1,Kobbe,0.2,1,0,5,0,0,0,0,0,0,0,0,9,3,69,0,0
2,Seel-Sorge,0.2,1,0,10,0,0,0,0,0,0,0,0,12,52,97,0,1
3,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,12,3,97,0,1
4,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,4,97,0,1
5,Praktiken,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,4,97,0,1
6,des,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,97,0,1
7,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,97,0,1
8,Foucaultiade,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,9,99,117,0,1
9,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,117,0,1
10,Ethik,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,117,0,1
11,des,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,117,0,1
12,Subjekts,0.125,1,0,8,0,0,0,0,0,0,0,0,9,2,117,0,1
13,Psychologisch-psychotherapeutisches,0.02857142857142857,1,0,35,0,0,0,0,0,0,0,0,8,35,175,0,0
14,Arbeiten,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,175,0,0
15,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,175,0,0
16,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,175,0,0
17,weitesten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,175,0,0
18,Sinne,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,175,0,0
19,helfende,0.0,0,0,8,0,0,0,0,0,0,0,0,8,35,20,0,0
20,Tatigkeit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
21,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,1,20,0,0
22,"definieren,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,20,0,0
23,stellt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
24,zugleich,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
25,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
26,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,20,0,0
27,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
28,Frage,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
29,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,35,20,0,0
30,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
31,Gewaltaspekten,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
32,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
33,jeweiligen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
34,konkreten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
35,Tuns.,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
36,Für,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
37,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
38,Psychiatrie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,35,20,0,0
39,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
