,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Rezensionen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,131,74,0,1
1,Micha,0.2,1,0,5,0,0,0,0,0,0,0,0,8,257,127,1,0
2,Hilgers,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,127,1,0
3,Ozonloch,0.125,1,0,8,0,0,0,0,0,0,0,0,7,72,18,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,1
5,Saurnagen.,0.1,1,0,10,0,0,0,0,0,0,0,0,7,3,18,0,1
6,Motivationsfragen,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,7,3,18,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,18,0,1
8,Umweltpolitik,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,18,0,1
9,Stuttgart/Leipzig,0.11764705882352941,1,0,17,0,1,0,0,0,0,0,0,7,124,17,0,0
10,1997:,0.0,0,0,5,4,0,1,0,0,0,0,0,7,3,17,0,0
11,"Hirzel,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,3,17,0,0
12,196,0.0,0,0,3,3,0,0,0,0,0,0,1,7,3,17,0,0
13,"Seiten,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
14,38,0.0,0,0,2,2,0,0,0,0,0,0,1,7,3,17,0,0
15,DM,1.0,1,0,2,0,0,0,0,0,0,0,0,7,3,17,0,0
16,Angesichts,0.1,1,0,10,0,0,0,0,0,0,0,0,8,29,187,0,0
17,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,187,0,0
18,"Schwierigkeiten,",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,4,187,0,0
19,Ökologie,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,187,0,0
20,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,187,0,0
21,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,187,0,0
22,rhetorisch,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,187,0,0
23,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,187,0,0
24,"praktizieren,",0.0,0,0,13,0,0,0,0,0,0,0,0,8,29,20,0,0
25,arbeitet,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
26,Hilgers,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
27,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,0
28,"Fragen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
29,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
30,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
31,ökologischer(er),0.0,0,0,16,0,0,0,0,0,0,0,0,8,3,20,0,0
32,Le­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
33,bensstil,0.0,0,0,8,0,0,0,0,0,0,0,0,8,29,20,0,0
34,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
35,»im,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
