,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Rezensionen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,6,158,37,0,0
1,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,34,72,0,0
2,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,72,0,0
3,Sünde,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,72,0,0
4,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,72,0,0
5,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,72,0,0
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,72,0,0
7,eigenständigen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,72,0,0
8,Lebenspraxis,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,72,0,0
9,"macht,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,72,0,0
10,ähnlich,0.0,0,0,7,0,0,0,0,0,0,0,0,8,33,20,0,0
11,ergeht,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
12,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
13,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
14,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
15,Psychologie.,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
16,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
17,wäre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
18,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
19,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
20,"problematischer,",0.0,0,0,16,0,0,0,0,0,0,0,0,8,34,20,0,0
21,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
22,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
23,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
24,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
25,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
26,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
27,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
28,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
29,dauernd,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
30,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
31,Psychologismus,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,34,20,0,0
32,umschlüge.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,20,0,0
33,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,6,20,0,0
34,professionelle,0.0,0,0,14,0,0,0,0,0,0,0,0,8,6,20,0,0
35,Ausdifferenzierung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,5,20,0,0
36,straft,0.0,0,0,6,0,0,0,0,0,0,0,0,8,33,20,0,0
37,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
38,Profis,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,20,0,0
39,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
40,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
41,Blindheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
42,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
43,ihr,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
44,Sein,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
45,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
46,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
47,"Welt,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
48,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
49,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
50,allein,0.0,0,0,6,0,0,0,0,0,0,0,0,8,33,20,0,0
51,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
52,äußere,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
53,Schranke,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,20,0,0
54,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
55,"Tätigkeit,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,1,20,0,0
56,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
57,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
58,innere,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
59,Gren­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
60,ze,0.0,0,0,2,0,0,0,0,0,0,0,0,8,33,20,0,0
61,darstellt.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,20,0,0
62,Hilgers,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,20,0,0
63,gelangt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,20,0,0
64,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,20,0,0
65,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,20,0,0
66,Verbindung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
67,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
68,psychischer,0.0,0,0,11,0,0,0,0,0,0,0,0,8,5,20,0,0
69,Selbstwahrnehmung,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,33,20,0,0
70,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
71,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
72,Wahrnehmung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,20,0,0
73,gesellschaftlicher,0.0,0,0,18,0,0,0,0,0,0,0,0,8,4,20,0,0
74,Aus­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
75,sichten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,33,20,0,0
76,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
77,"Umweltbereich,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
78,nimmt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,20,0,0
79,diese,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,20,0,0
80,Interdependenz,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
81,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
82,seiner,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,20,0,0
83,psychologischen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,34,20,0,0
84,Perspektive,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,20,0,0
85,aber,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,20,0,0
86,zurück.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
87,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,20,0,0
88,Psychologe,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
89,Hilgers,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,20,0,0
90,kommt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,34,20,0,0
91,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
92,(Bewegungs-),0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
93,Analytiker,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
94,Hilgers,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
95,ins,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
96,Gehege.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
97,Dies,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,20,0,0
98,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
99,schieht,0.0,0,0,7,0,0,0,0,0,0,0,0,8,33,20,0,0
100,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
101,mutwillig.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,20,0,0
