,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,____________,0.0,0,0,12,0,0,0,0,0,0,0,0,6,43,31,0,0
1,Rezensionen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,6,4,31,0,0
2,_,0.0,0,0,1,0,0,0,0,0,0,0,0,6,312,31,0,0
3,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,44,68,0,0
4,"Herausforderung,",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,68,0,0
5,andererseits,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,68,0,0
6,macht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,68,0,0
7,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,68,0,0
8,"Lust,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,68,0,0
9,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,68,0,0
10,psychoanaly­,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,68,0,0
11,tischen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,44,20,0,0
12,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,20,0,0
13,feministischen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,4,20,0,0
14,Ansätzen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
15,kritisch,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,20,0,0
16,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,20,0,0
17,nähern.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,20,0,0
18,Besonders,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
19,zeichnet,0.0,0,0,8,0,0,0,0,0,0,0,0,8,44,20,0,0
20,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
21,Buch,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
22,"aus,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
23,daß,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
24,Musfeld,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,20,0,0
25,genau,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
27,theoretischen,0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,20,0,0
28,Punk­,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
29,te,0.0,0,0,2,0,0,0,0,0,0,0,0,8,44,20,0,0
30,analysiert,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,20,0,0
31,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
32,"hinterfragt,",0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,20,0,0
33,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,20,0,0
34,denen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
35,sonst,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
36,aufgehört,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,20,0,0
37,"wurde,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
38,weiter­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
39,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,44,20,0,0
40,fragen.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,1,20,0,0
41,Akribisch,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,20,0,0
42,arbeitet,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,20,0,0
43,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
44,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
45,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
46,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
47,Schwachstellen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,20,0,0
48,femini­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
49,stischer,0.0,0,0,8,0,0,0,0,0,0,0,0,8,44,20,0,0
50,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,20,0,0
51,psychoanalytischer,0.0,0,0,18,0,0,0,0,0,0,0,0,8,3,20,0,0
52,Aggressionstheorien,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,2,20,0,0
53,"heraus,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
54,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,20,0,0
55,macht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,44,20,0,0
56,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,20,0,0
57,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,20,0,0
58,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,20,0,0
59,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
60,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,20,0,0
61,Suche,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,20,0,0
62,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,20,0,0
63,konstruktiven,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,20,0,0
