,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Johannes,0.125,1,0,8,0,0,0,0,0,0,0,0,8,144,67,0,0
1,Bittel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,67,0,0
2,Ariadne,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,11,113,96,0,1
3,in,0.0,0,0,2,0,0,0,0,0,0,0,0,11,4,96,0,1
4,Marseille,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,4,96,0,1
5,Vom,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,91,114,0,1
6,Verirren,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,114,0,1
7,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,114,0,1
8,Methode,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,114,0,1
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,114,0,1
10,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,114,0,1
11,Lust,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,114,0,1
12,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,117,20,0,1
13,Erkennens,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,20,0,1
14,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,20,0,1
15,Labyrinth,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,20,0,1
16,I,1.0,1,0,1,0,0,0,0,0,0,0,0,9,83,174,0,0
17,theme,0.0,0,0,5,0,0,0,0,0,0,0,0,9,4,174,0,0
18,1,0.0,0,0,1,1,0,0,0,0,0,0,1,9,3,174,0,0
19,(Walter,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,9,2,174,0,0
20,Benjamins,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,3,174,0,0
21,Erzählung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,174,0,0
22,"""Haschisch",0.1,0,0,10,0,0,0,0,0,0,0,0,9,117,21,0,0
23,in,0.0,0,0,2,0,0,0,0,0,0,0,0,9,3,21,0,0
24,"Marseille"")",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,9,3,21,0,0
25,29.9.1928.,0.0,0,0,10,7,0,0,0,0,0,0,1,8,36,205,0,0
26,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,205,0,0
27,Hotelzimmer,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,205,0,0
28,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,205,0,0
29,Marseille.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,205,0,0
30,7.00,0.0,0,0,4,3,0,0,0,0,0,0,1,5,3,205,0,0
31,abends.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,205,0,0
32,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,205,0,0
33,Experiment,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,205,0,0
34,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,36,218,0,0
35,Haschisch.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,218,0,0
36,Seit,0.25,1,0,4,0,0,0,0,0,0,0,0,7,48,234,0,0
37,Dezember,0.125,1,0,8,0,0,0,0,0,0,0,0,7,5,234,0,0
38,1927,0.0,0,0,4,4,0,0,0,0,0,1,1,7,5,234,0,0
39,experimentiert,0.0,0,0,14,0,0,0,0,0,0,0,0,7,5,234,0,0
40,Walter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,5,234,0,0
41,Benjamin,0.125,1,0,8,0,0,0,0,0,0,0,0,7,5,234,0,0
42,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,7,5,234,0,0
43,"Haschisch,",0.1,1,0,10,0,0,0,0,0,0,0,0,7,5,234,0,0
44,Mescalin,0.125,1,0,8,0,0,0,0,0,0,0,0,7,48,17,0,0
45,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
46,anderen,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
47,Drogen.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
48,",,Experimentiert""",0.058823529411764705,0,0,17,0,0,0,0,0,0,0,0,7,3,17,0,0
49,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,17,0,0
50,zunächst,0.0,0,0,8,0,0,0,0,0,0,0,0,7,3,17,0,0
51,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
52,formaler,0.0,0,0,8,0,0,0,0,0,0,0,0,7,1,17,0,0
53,"Ebene,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,48,17,0,0
54,wörtlich,0.0,0,0,8,0,0,0,0,0,0,0,0,7,3,17,0,0
55,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,17,0,0
56,verstehen.,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,17,0,0
57,In,0.5,1,0,2,0,0,0,0,0,0,0,0,7,3,17,0,0
58,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
59,erhaltenen,0.0,0,0,10,0,0,0,0,0,0,0,0,7,2,17,0,0
60,Versuchsprotokollen,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,7,2,17,0,0
61,wer­,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,17,0,0
62,den,0.0,0,0,3,0,0,0,0,0,0,0,0,7,48,17,0,0
63,meist,0.0,0,0,5,0,0,0,0,0,0,0,0,7,3,17,0,0
64,Menge,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,17,0,0
65,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,17,0,0
66,Art,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,17,0,0
67,der,0.0,0,0,3,0,0,0,0,0,0,0,0,7,3,17,0,0
68,"Droge,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,17,0,0
69,Ort,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,7,3,17,0,0
