,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Thomas,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,136,65,0,0
1,Kleinspehn,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,65,0,0
2,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,13,79,95,0,1
3,Fesfivalisierung,0.0625,1,0,16,0,0,0,0,0,0,0,0,13,4,95,0,1
4,der,0.0,0,0,3,0,0,0,0,0,0,0,0,13,4,95,0,1
5,Sinne,0.2,1,0,5,0,0,0,0,0,0,0,0,13,3,95,0,1
6,Vom,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,82,113,0,1
7,Landschaftsgarten,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,3,113,0,1
8,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,113,0,1
9,Weltausstellung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,113,0,1
10,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,37,157,0,0
11,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,157,0,0
12,"""wildwüchsigste",0.0,0,0,15,0,0,0,0,0,0,0,0,8,3,157,0,0
13,"Garten""",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,157,0,0
14,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,157,0,0
15,genauso,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,157,0,0
16,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,157,0,0
17,Kulturprodukt,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,157,0,0
18,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,157,0,0
19,jeder,0.0,0,0,5,0,0,0,0,0,0,0,0,8,37,21,0,0
20,Vergnügungspark,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,21,0,0
21,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
22,jede,0.0,0,0,4,0,0,0,0,0,0,0,0,8,1,21,0,0
23,Weltausstellung.,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,2,21,0,0
24,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
25,Beziehung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,21,0,0
26,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
27,unterschiedlichen,0.0,0,0,17,0,0,0,0,0,0,0,0,8,38,21,0,0
28,Orte,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
29,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
30,ihre,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
31,ästhetische,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
32,Ausgestaltung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
33,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
34,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
35,histo­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
36,risch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,38,21,0,0
37,verändert.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
38,Allgemein,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
39,formuliert,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
40,soll,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
41,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
42,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
43,deshalb,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
44,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
45,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
46,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
47,"stalteten,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,37,21,0,0
48,"bebauten,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
49,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
50,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
51,Natur,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
52,abgerungenen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
53,Raum,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
54,gehen:,0.0,0,0,6,0,0,1,0,0,0,0,0,8,3,21,0,0
55,ihn,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
56,gilt,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
57,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,37,21,0,0
58,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
59,lesen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
60,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
61,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
62,entschlüsseln,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
63,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
64,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
65,"fragen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
66,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
67,er,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
68,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
69,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
70,"auslöst,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
71,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,38,21,0,0
72,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
73,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
74,ihm,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
75,sagen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
76,"wollen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
77,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
78,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
79,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
80,ausstellen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
81,wollen.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
82,Exempla­,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
83,risch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,38,21,0,0
84,könnte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
85,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
86,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
87,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
88,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
89,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
90,Ost-West-Achse,0.21428571428571427,1,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
91,ansiedeln:,0.0,0,0,10,0,0,1,0,0,0,0,0,8,3,21,0,0
92,zwi­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
93,schen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,38,21,0,0
94,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
95,Wörlitz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
96,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
97,18.,0.0,0,0,3,2,0,0,0,0,0,0,1,8,4,21,0,0
98,"Jahrhunderts,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
99,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
100,"""Bauhaus""",0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
101,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
102,Dessau,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
103,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
104,Weimar,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,37,21,0,0
105,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
106,20er,0.0,0,0,4,2,0,0,0,0,0,0,0,8,2,21,0,0
107,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
108,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
109,Hannover,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
110,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
