,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Bernd,0.2,1,0,5,0,0,0,0,0,0,0,0,8,145,69,0,0
1,Leuterer,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,69,0,0
2,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,83,98,0,1
3,Film,0.25,1,0,4,0,0,0,0,0,0,0,0,12,3,98,0,1
4,zwischen,0.0,0,0,8,0,0,0,0,0,0,0,0,12,4,98,0,1
5,den,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,98,0,1
6,Bildern,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,12,4,98,0,1
7,(Psychologie,0.08333333333333333,0,0,12,0,0,0,0,0,0,0,0,8,132,116,0,1
8,sehen),0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,116,0,1
9,Etwas,0.2,1,0,5,0,0,0,0,0,0,0,0,11,146,159,0,0
10,Sehen,0.2,1,0,5,0,0,0,0,0,0,0,0,11,2,159,0,0
11,Etwas,0.2,1,0,5,0,0,0,0,0,0,0,0,8,37,177,0,0
12,sehen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,177,0,0
13,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,177,0,0
14,etwas,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,177,0,0
15,"anderes,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,177,0,0
16,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,177,0,0
17,etwas,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,177,0,0
18,lesen.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,177,0,0
19,Oder:,0.2,1,0,5,0,0,1,0,0,0,0,0,8,5,177,0,0
20,Lesen,0.2,1,0,5,0,0,0,0,0,0,0,0,8,5,177,0,0
21,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,177,0,0
22,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,177,0,0
23,spezielle,0.0,0,0,9,0,0,0,0,0,0,0,0,8,37,191,0,0
24,Art,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,191,0,0
25,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,191,0,0
26,"Sehens,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,191,0,0
27,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,191,0,0
28,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,191,0,0
29,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,191,0,0
30,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,191,0,0
31,besondere,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,191,0,0
32,Weise,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,191,0,0
33,einspannt,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,191,0,0
34,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,37,204,0,0
35,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,204,0,0
36,Sinne,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,204,0,0
37,verwirrt:,0.0,0,0,9,0,0,1,0,0,0,0,0,8,2,204,0,0
38,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,204,0,0
39,Auge,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,204,0,0
40,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,204,0,0
41,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,204,0,0
42,Ohr,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,204,0,0
43,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,204,0,0
44,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,204,0,0
45,Ohr,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,204,0,0
46,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,204,0,0
47,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,204,0,0
