,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Peter,0.2,1,0,5,0,0,0,0,0,0,0,0,8,152,66,0,0
1,Mattes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,66,0,0
2,Ist,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,113,95,0,1
3,das,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,95,0,1
4,wirklich,0.0,0,0,8,0,0,0,0,0,0,0,0,12,3,95,0,1
5,wahr?,0.0,0,0,5,0,0,0,0,0,0,0,0,12,4,95,0,1
6,Anmerkungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,86,113,0,1
7,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,113,0,1
8,"Genre,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,113,0,1
9,Kanon,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,113,0,1
10,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,113,0,1
11,Regel,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,113,0,1
12,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,118,20,0,1
13,narrativen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,20,0,1
14,Konstruktionen,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,20,0,1
15,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,9,134,178,0,0
16,Was,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,149,178,0,0
17,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,178,0,0
18,wirklich?,0.0,0,0,9,0,0,0,0,0,0,0,0,9,2,178,0,0
19,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,40,197,0,0
20,"Zeit,",0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,197,0,0
21,da,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,197,0,0
22,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,197,0,0
23,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,197,0,0
24,aller,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,197,0,0
25,Munde,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,197,0,0
26,"waren,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,197,0,0
27,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,197,0,0
28,poststrukturalistische,0.0,0,0,22,0,0,0,0,0,0,0,0,8,2,197,0,0
29,sowie,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,197,0,0
30,postmoderne,0.0,0,0,11,0,0,0,0,0,0,0,0,8,40,21,0,0
31,Sprachphilosophie,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,4,21,0,0
32,schon,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
33,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
34,hinter,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
35,sich.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
36,Mit,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
37,einiger,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
38,Verspätung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,40,21,0,0
39,beginnt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
40,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
41,jedoch,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
42,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
43,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
45,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
46,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
47,Konsens,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
48,darüber,0.0,0,0,7,0,0,0,0,0,0,0,0,8,40,21,0,0
49,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
50,"verankern,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
51,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
52,sprachliche,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
53,Zeichengefüge,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
54,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
55,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
56,ihnen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
57,vorgängige,0.0,0,0,10,0,0,0,0,0,0,0,0,8,40,21,0,0
58,Wirklichkeit,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
59,"abbilden,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
60,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
61,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
62,"das,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
63,was,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
64,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
65,wahr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
66,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
67,wirklich,0.0,0,0,8,0,0,0,0,0,0,0,0,8,40,21,0,0
68,bezeichnet,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
69,"wird,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
70,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
71,Ergebnis,0.125,1,0,8,0,0,0,0,0,0,0,0,8,5,21,0,0
72,sprachlicher,0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,21,0,0
73,Kommunikation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,5,21,0,0
74,darstellt.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,40,21,0,0
75,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
76,unserer,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
77,Disziplin,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
78,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
79,dies,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
80,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
81,"Einsicht,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
82,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
83,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
84,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
85,etwa,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
86,eineinhalb,0.0,0,0,10,0,0,0,0,0,0,0,0,8,40,21,0,0
87,Jahrzehnten,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,6,21,0,0
88,insbesondere,0.0,0,0,12,0,0,0,0,0,0,0,0,8,6,21,0,0
89,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
90,Soziale,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,6,21,0,0
91,Konstruktionismus,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,6,21,0,0
92,(Gergen,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,8,40,21,0,0
93,1985),0.0,0,0,5,4,0,0,0,0,0,0,0,8,3,21,0,0
94,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
95,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
96,Kulturpsychologie,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,3,21,0,0
97,(Bruner,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
98,"1986,",0.0,0,0,5,4,0,0,0,0,0,0,1,8,3,21,0,0
99,1990),0.0,0,0,5,4,0,0,0,0,0,0,0,8,3,21,0,0
100,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
101,eigen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
102,gemacht,0.0,0,0,7,0,0,0,0,0,0,0,0,8,40,21,0,0
103,haben.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
104,Sie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,6,21,0,0
105,treffen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,21,0,0
106,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,6,21,0,0
107,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
108,Konzept,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,5,21,0,0
109,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
110,narrativen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
111,Kon­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
112,struktionismus,0.0,0,0,14,0,0,0,0,0,0,0,0,8,40,21,0,0
113,(Gergen,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
114,&,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,21,0,0
115,Gergen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
116,1988).,0.0,0,0,6,4,0,0,0,0,0,0,0,8,4,21,0,0
117,Dessen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
118,zentrale,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
119,These,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
120,lautet:,0.0,0,0,7,0,0,1,0,0,0,0,0,8,3,21,0,0
121,Wir,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,40,21,0,0
122,stellen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
123,uns,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
124,selbst,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
