,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Lars,0.25,1,0,4,0,0,0,0,0,0,0,0,8,131,67,0,0
1,Näcke,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,67,0,0
2,&,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,67,0,0
3,Eri,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,67,0,0
4,Park,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,67,0,0
5,Subjektivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,70,96,0,1
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,96,0,1
7,Subjektivierung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,3,96,0,1
8,-,0.0,0,0,1,0,0,0,0,0,0,0,0,12,4,96,0,1
9,Zwischen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,84,114,0,1
10,Einschreibung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,114,0,1
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,114,0,1
12,Selbslführung1,0.07142857142857142,1,0,14,1,0,0,0,0,0,0,0,8,2,114,0,1
13,"""Subjektivität",0.07142857142857142,0,0,14,0,0,0,0,0,0,0,0,7,55,154,0,0
14,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,154,0,0
15,kein,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,154,0,0
16,"Gegebenes,",0.1,1,0,10,0,0,0,0,0,0,0,0,7,2,154,0,0
17,...,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,154,0,0
18,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,154,0,0
19,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,154,0,0
20,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,154,0,0
21,"Problem,",0.125,1,0,8,0,0,0,0,0,0,0,0,7,2,154,0,0
22,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,154,0,0
23,es,0.0,0,0,2,0,0,0,0,0,0,0,0,7,2,154,0,0
24,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,154,0,0
25,gibt,0.0,0,0,4,0,0,0,0,0,0,0,0,7,2,154,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,154,0,0
27,die,0.0,0,0,3,0,0,0,0,0,0,0,0,7,55,17,0,0
28,einsame,0.0,0,0,7,0,0,0,0,0,0,0,0,7,2,17,0,0
29,Stunde,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,7,2,17,0,0
30,unversehrter,0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,17,0,0
31,Subjektivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,7,2,17,0,0
32,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
33,nie,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,17,0,0
34,"geschlagen.""",0.0,0,0,12,0,0,0,0,0,0,0,0,7,2,17,0,0
35,Ralf,0.25,1,0,4,0,0,0,0,0,0,0,0,7,55,17,1,0
36,Konersmann,0.1,1,0,10,0,0,0,0,0,0,0,0,7,1,17,1,0
37,"""Könnte",0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,7,55,196,0,0
38,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,196,0,0
39,das,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,196,0,0
40,Leben,0.2,1,0,5,0,0,0,0,0,0,0,0,7,2,196,0,0
41,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,196,0,0
42,jeden,0.0,0,0,5,0,0,0,0,0,0,0,0,7,2,196,0,0
43,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,7,2,196,0,0
44,Kunstwerk,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,7,2,196,0,0
