,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Thilo,0.2,1,0,5,0,0,0,0,0,0,0,0,8,130,62,0,0
1,Maria,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,62,0,0
2,Naumann,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,62,0,0
3,"Ästhetik,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,56,90,0,1
4,Fernsehen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,11,4,90,0,1
5,und,0.0,0,0,3,0,0,0,0,0,0,0,0,11,4,90,0,1
6,postmoderne,0.0,0,0,11,0,0,0,0,0,0,0,0,11,4,90,0,1
7,Subjektivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,11,137,26,0,1
8,Einführung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,150,135,0,0
9,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,36,155,0,0
10,Erkenntnisinteresse,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,3,155,0,0
11,dieses,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,155,0,0
12,Beitrags,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,155,0,0
13,zielt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,155,0,0
14,"darauf,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,155,0,0
15,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,155,0,0
16,Bedeutung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,155,0,0
17,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,155,0,0
18,Ästhetik,0.125,1,0,8,0,0,0,0,0,0,0,0,8,36,21,0,0
19,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
20,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
21,Konstitution,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
22,postmoderner,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,21,0,0
23,Subjektivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,21,0,0
24,am,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
25,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
26,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
27,Fernsehens,0.1,1,0,10,0,0,0,0,0,0,0,0,8,36,21,0,0
28,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
29,begreifen.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
