,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Valeria,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,126,75,0,0
1,Borbonus,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,75,0,0
2,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,54,98,0,1
3,suchen,0.0,0,0,6,0,0,0,0,0,0,0,0,12,4,98,0,1
4,-,0.0,0,0,1,0,0,0,0,0,0,0,0,12,4,98,0,1
5,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,7,98,0,1
6,wissen,0.0,0,0,6,0,0,0,0,0,0,0,0,12,4,98,0,1
7,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,112,28,0,1
8,machen,0.0,0,0,6,0,0,0,0,0,0,0,0,12,5,28,0,1
9,Information,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,32,131,0,0
10,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,131,0,0
11,Zeichen,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,131,0,0
12,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,131,0,0
13,Metamorphose,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,131,0,0
14,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,131,0,0
15,Materiellen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,131,0,0
16,Dieser,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,14,179,0,0
17,Artikel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,179,0,0
18,rückt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,179,0,0
19,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,179,0,0
20,>Thematisierung,0.06666666666666667,0,0,15,0,0,0,0,0,0,0,0,8,4,179,0,0
21,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,179,0,0
22,Körpers<,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,179,0,0
23,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,179,0,0
24,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,179,0,0
25,Blickpunkt,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,179,0,0
26,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,14,21,0,0
27,erliegt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
28,damit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
29,zugleich,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
