,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Ada,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,121,75,0,0
1,Borkenhagen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,75,0,0
2,Gemachte,0.125,1,0,8,0,0,0,0,0,0,0,0,12,102,98,0,1
3,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,98,0,1
4,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,39,114,0,0
5,Inszenierung,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,114,0,0
6,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,114,0,0
7,modernen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,114,0,0
8,Selbst,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,114,0,0
9,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,114,0,0
10,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,114,0,0
11,Skalpell.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,114,0,0
12,Aspekte,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,91,21,0,0
13,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
14,Schönheitschirurgie,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,2,21,0,0
15,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,11,167,0,0
16,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,167,0,0
17,Spätmoderne,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,167,0,0
18,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,167,0,0
19,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,167,0,0
20,Verhältnis,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,167,0,0
21,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,167,0,0
22,eigenen,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,167,0,0
23,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,167,0,0
24,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,167,0,0
25,zwei,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,167,0,0
26,entgegengesetzte,0.0,0,0,16,0,0,0,0,0,0,0,0,8,11,21,0,0
27,Tendenzen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
28,bestimmt:,0.0,0,0,9,0,0,1,0,0,0,0,0,8,3,21,0,0
29,Einer,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
30,Rückbesinnung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
31,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
32,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
33,Kör­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
34,per,0.0,0,0,3,0,0,0,0,0,0,0,0,8,11,21,0,0
35,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
36,"""",0.0,0,0,1,0,0,0,0,0,0,0,0,8,4,21,0,0
37,letztem«,0.0,0,0,8,0,0,0,0,0,0,0,0,8,0,21,0,0
38,Hort,0.25,1,0,4,0,0,0,0,0,0,0,0,8,6,21,0,0
39,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
40,Authentizität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
41,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
42,unhintergehbarem,0.0,0,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
43,Bezugs­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
44,punkt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,11,21,0,0
45,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
46,Identität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
47,einerseits,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
48,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
49,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
50,gegenläufigen,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
51,"Tendenz,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
52,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
53,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
54,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
55,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,11,21,0,0
56,Formel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
57,vom,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
58,"""Körper",0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
59,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
60,Projekt«,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
61,beziehungsweise,0.0,0,0,15,0,0,0,0,0,0,0,0,8,6,21,0,0
62,»Körper,0.14285714285714285,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
63,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
64,Kon­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
65,struktion«,0.0,0,0,10,0,0,0,0,0,0,0,0,8,11,21,0,0
