,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Natascha,0.125,1,0,8,0,0,0,0,0,0,0,0,9,100,76,0,0
1,Feld,0.25,1,0,4,0,0,0,0,0,0,0,0,9,3,76,0,0
2,&,0.0,0,0,1,0,0,0,0,0,0,0,0,9,1,76,0,0
3,Katja,0.2,1,0,5,0,0,0,0,0,0,0,0,9,2,76,0,0
4,Kai/er,0.16666666666666666,1,0,6,0,1,0,0,0,0,0,0,9,3,76,0,0
5,Hack,0.25,1,0,4,0,0,0,0,0,0,0,0,12,68,100,0,1
6,the,0.0,0,0,3,0,0,0,0,0,0,0,0,12,3,100,0,1
7,symbolic,0.0,0,0,8,0,0,0,0,0,0,0,0,12,5,100,0,1
8,(b)order!,0.0,0,0,9,0,0,0,0,0,0,0,0,12,5,100,0,1
9,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,75,117,0,0
10,andere,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,117,0,0
11,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,117,0,0
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,117,0,0
13,Contact,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,117,0,0
14,Improvisation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,117,0,0
15,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,12,166,0,0
16,postmoderne,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,166,0,0
17,Tanz,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,166,0,0
18,versteht,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,166,0,0
19,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,166,0,0
20,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,166,0,0
21,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,166,0,0
22,ständiges,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,166,0,0
23,Werden.,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,166,0,0
24,Seine,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,166,0,0
25,Potentiale,0.1,1,0,10,0,0,0,0,0,0,0,0,8,11,21,0,0
26,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
27,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
28,nie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
29,abschließender,0.0,0,0,14,0,0,0,0,0,0,0,0,8,2,21,0,0
30,Prozess,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
31,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
32,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
33,"aufgesucht,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
34,mul­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
35,tipliziert,0.0,0,0,10,0,0,0,0,0,0,0,0,8,12,21,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
