,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Robert,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,125,75,0,0
1,Gugutzer,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,75,0,0
2,Grenzerfahrungen,0.0625,1,0,16,0,0,0,0,0,0,0,0,12,101,98,0,1
3,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,27,115,0,0
4,Bedeutung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,115,0,0
5,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,115,0,0
6,Leib,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,115,0,0
7,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,115,0,0
8,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,115,0,0
9,tür,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,115,0,0
10,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,115,0,0
11,personale,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,115,0,0
12,Identität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,115,0,0
13,1,0.0,0,0,1,1,0,0,0,0,0,0,1,9,12,165,0,0
14,Leibvergessenheit,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,9,5,165,0,0
15,sozialwissenschaftlicher,0.0,0,0,24,0,0,0,0,0,0,0,0,9,2,165,0,0
16,Identitätstheorien,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,9,2,165,0,0
17,Es,0.5,1,0,2,0,0,0,0,0,0,0,0,8,12,185,0,0
18,gibt,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,185,0,0
19,wohl,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,185,0,0
20,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,185,0,0
21,wenige,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,185,0,0
22,Themen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,185,0,0
23,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,185,0,0
24,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,185,0,0
25,"Sozialwissenschaften,",0.047619047619047616,1,0,21,0,0,0,0,0,0,0,0,8,3,185,0,0
26,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,185,0,0
27,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,185,0,0
28,breit,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,185,0,0
29,untersucht,0.0,0,0,10,0,0,0,0,0,0,0,0,8,12,21,0,0
30,worden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
31,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
32,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
33,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
34,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
35,Identität.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
36,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
37,psychologische,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
38,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
39,soziologische,0.0,0,0,13,0,0,0,0,0,0,0,0,8,12,21,0,0
40,Literatur,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,21,0,0
41,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
42,Identität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,21,0,0
43,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
44,Individuums,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
45,nimmt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
46,inzwischen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,21,0,0
47,je­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
48,denfalls,0.0,0,0,8,0,0,0,0,0,0,0,0,8,12,22,0,0
49,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,22,0,0
