,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Birgit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,133,74,0,1
1,Müller,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,74,0,1
2,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,54,98,0,1
3,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,98,0,1
4,"Dekonstruktion,",0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,12,5,98,0,1
5,Embodiment,0.1,1,0,10,0,0,0,0,0,0,0,0,12,60,28,0,1
6,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,28,0,1
7,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,5,28,0,1
8,Dezentrierung,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,11,166,0,1
9,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,166,0,1
10,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,166,0,1
11,Produktivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,166,0,1
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,166,0,1
13,Oberflächen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,166,0,1
14,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,11,186,0,0
15,Diskussion,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,186,0,0
16,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,186,0,0
17,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,186,0,0
18,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,186,0,0
19,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,186,0,0
20,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,186,0,0
21,zentralen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,186,0,0
22,Ort,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,186,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,186,0,0
24,kulturellen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,186,0,0
25,Be­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,186,0,0
26,deutungsproduktion,0.0,0,0,18,0,0,0,0,0,0,0,0,8,11,21,0,0
27,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
28,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
29,massiven,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
30,Ambivalenzen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
31,"durchzogen,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
32,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
33,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
34,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,11,21,0,0
35,Verlust,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
36,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
37,"Verschwinden,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,2,21,0,0
38,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
39,Wiedergewinnung,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,2,21,0,0
40,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
41,Wiederkehr,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,21,0,0
42,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
43,"sprochen,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,11,21,0,0
44,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
45,Entkörperlichung,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
46,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
47,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
48,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
49,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
50,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
51,Gen­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
52,q:chnik,0.0,0,0,7,0,0,1,0,0,0,0,0,8,11,21,0,0
53,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
54,poststrukturalistische,0.0,0,0,22,0,0,0,0,0,0,0,0,8,3,21,0,0
55,Texte,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
56,(siehe,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
57,Kritik,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
58,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
59,Duden,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
60,1993).,0.0,0,0,6,4,0,0,0,0,0,0,0,8,4,21,0,0
61,Andererseits,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,11,21,0,0
62,erleben,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
63,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
64,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
65,medialen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
66,Boom,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
67,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
68,erzwungener,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
69,Körperauf­,0.1,1,0,10,0,0,0,0,0,0,0,0,8,2,21,0,0
70,"merksamkeit,",0.0,0,0,12,0,0,0,0,0,0,0,0,8,11,21,0,0
71,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
72,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
73,Bilderfluten,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
74,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
75,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
76,esoterischer,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
77,",feel",0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
78,good<-Meta­,0.09090909090909091,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
79,phorik,0.0,0,0,6,0,0,0,0,0,0,0,0,8,11,21,0,0
80,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
81,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
82,ins,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
83,Zentrum,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
84,rückt.,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
85,Obwohl,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
86,permanent,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
87,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
88,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
89,Kör­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
90,per,0.0,0,0,3,0,0,0,0,0,0,0,0,8,11,21,0,0
91,geredet,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
92,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
93,geschrieben,0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
94,"wird,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
95,zahllose,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
96,Bilder,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
97,produziert,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,21,0,0
98,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
99,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
100,er,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
101,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,11,21,0,0
102,ständige,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
103,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
104,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
105,darstellenden,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
106,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
107,bildenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
108,Künsten,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
109,"ist,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
110,schwingt,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
111,immer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,11,21,0,0
112,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
113,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
114,Tenor,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
115,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
116,"Mangels,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
117,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
118,Entfremdung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
119,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
120,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
121,Spaltung,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
122,mit.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,11,21,0,0
123,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
124,Rede,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
125,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
126,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
127,Körper,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
128,inszeniert,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
129,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
130,Verlust,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
131,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
132,"Referenten,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
133,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
134,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,11,21,0,0
135,einen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
136,imaginären,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,21,0,0
137,Ursprung,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
138,gesetzt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
139,"wird,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
140,obwohl,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
141,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
142,konkreten,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
143,medizi­,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
144,"nischen,",0.0,0,0,8,0,0,0,0,0,0,0,0,8,11,21,0,0
145,politischen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,5,21,0,0
146,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
147,ästhetischen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,5,21,0,0
148,Praktiken,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
149,diesen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
