,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Maria,0.2,1,0,5,0,0,0,0,0,0,0,0,10,138,74,1,1
1,Borsca,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,10,3,74,1,1
2,Leibliche,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,48,97,0,1
3,Andersheit,0.1,1,0,10,0,0,0,0,0,0,0,0,12,3,97,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,97,0,1
5,die,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,97,0,1
6,soziale,0.0,0,0,7,0,0,0,0,0,0,0,0,12,4,97,0,1
7,Konstruktion,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,82,28,0,1
8,von,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,28,0,1
9,Alterität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,4,28,0,1
10,Geburtsblindheit,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,88,130,0,1
11,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,130,0,1
12,Medienzeitalter',0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,130,0,1
13,Wie,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,17,178,0,0
14,kaum,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,178,0,0
15,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,178,0,0
16,andere,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,178,0,0
17,leibliche,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,178,0,0
18,Verfaßtheit,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,178,0,0
19,scheint,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,178,0,0
20,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,178,0,0
21,Blindheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,178,0,0
22,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,178,0,0
23,Sym­,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,178,0,0
24,bolisierung,0.0,0,0,11,0,0,0,0,0,0,0,0,8,17,21,0,0
25,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
26,Metaphorisierung,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,4,21,0,0
27,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
28,eignen.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
29,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
30,steht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
31,zweifelsohne,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
32,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
33,Zusammenhang,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,17,21,0,0
34,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
35,hohen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
36,"Bedeutsamkeit,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
37,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
38,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
39,unserem,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
40,Kulturkreis,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,21,0,0
41,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
42,Sehen,0.2,1,0,5,0,0,0,0,0,0,0,0,8,17,21,0,0
43,zugesprochen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
44,"wird,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
45,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
46,hin,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
47,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
48,sogenannten,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
49,kulturellen,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
50,Dominanz,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
51,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,17,21,0,0
52,Visuellen.,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
53,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
54,Begriff,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
55,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
56,Blindheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
57,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
58,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
59,Blinde,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
60,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
61,Figur,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
62,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
63,To­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
64,pos,0.0,0,0,3,0,0,0,0,0,0,0,0,8,17,21,0,0
65,findet,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
66,dabei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
67,Eingang,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
68,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
69,unterschiedlichste,0.0,0,0,18,0,0,0,0,0,0,0,0,8,4,21,0,0
70,"Diskurse,",0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
71,wobei,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
72,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
73,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
74,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,17,21,0,0
75,philosophische,0.0,0,0,14,0,0,0,0,0,0,0,0,8,4,21,0,0
76,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
77,literarische,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
78,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
79,nennen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
80,wären,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
81,(vgl.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
82,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
83,Beispiel,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
84,"Mayer,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,17,21,0,0
85,1997;,0.0,0,0,5,4,0,0,0,0,0,0,1,8,3,21,0,0
86,"Gessinger,",0.1,1,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
87,1994;,0.0,0,0,5,4,0,0,0,0,0,0,1,8,3,21,0,0
88,"Baumeister,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,21,0,0
89,1991).,0.0,0,0,6,4,0,0,0,0,0,0,0,8,3,21,0,0
90,Der,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
91,Zusammenhang,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
92,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,17,21,0,0
93,Lichtmetapher,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
94,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
95,Erkenntnis,0.1,1,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
96,(und,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
97,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
98,mittlerweile,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
99,dazugehörigen,0.0,0,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
100,"Dekonstruktion),",0.0625,1,0,16,0,0,0,0,0,0,0,0,8,17,21,0,0
101,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
102,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
103,scheinbare,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
104,thematische,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
105,Nähe,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
106,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
107,Vergänglich­,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
108,keit,0.0,0,0,4,0,0,0,0,0,0,0,0,8,17,21,0,0
109,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
110,Tod,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
111,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
112,vertraut.,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,21,0,0
113,Geht,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
114,man,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
115,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
116,Derrida,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,21,0,0
117,"(1997),",0.0,0,0,7,4,0,0,0,0,0,0,0,8,3,21,0,0
118,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
119,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
