,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Tamara,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,134,74,0,0
1,Musfeld,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,74,0,0
2,Befremdende,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,76,97,0,1
3,Begegnungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,5,97,0,1
4,Annäherung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,51,113,0,0
5,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,113,0,0
6,Fremdheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,113,0,0
7,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,113,0,0
8,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,113,0,0
9,psychosozialen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,2,113,0,0
10,Arbeit,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,113,0,0
11,Einleitung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,20,161,0,0
12,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,20,180,0,0
13,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,8,5,180,0,0
14,scheint,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,180,0,0
15,kleiner,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,180,0,0
16,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,180,0,0
17,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,180,0,0
18,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,180,0,0
19,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,180,0,0
20,Hilfe,0.2,1,0,5,0,0,0,0,0,0,0,0,8,5,180,0,0
21,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,180,0,0
22,"Informationen,",0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,5,180,0,0
23,"Technik,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,19,21,0,0
24,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
25,Mobilität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
26,scheinen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
27,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
28,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
29,näher,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
30,zusammenzurücken.,0.0,0,0,17,0,0,0,0,0,0,0,0,8,3,21,0,0
31,Fremdheit,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,20,21,0,0
32,sollte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
33,unter,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
34,diesen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
35,Umständen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
36,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
37,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
38,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
39,Problem,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
40,"sein,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
41,da,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
42,jeder,0.0,0,0,5,0,0,0,0,0,0,0,0,8,20,21,0,0
43,Winkel,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
44,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
45,Welt,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
46,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
47,wahrsten,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
48,Sinne,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
49,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
50,Wortes,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,21,0,0
51,»erfahrbar«,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
52,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
53,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
54,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,20,21,0,0
55,Wissen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
56,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
57,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
