,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Ralf,0.25,1,0,4,0,0,0,0,0,0,0,0,8,141,73,0,0
1,Quindel,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,1,73,0,0
2,Unterschiede,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,83,97,0,1
3,anerkennen,0.0,0,0,10,0,0,0,0,0,0,0,0,12,4,97,0,1
4,Ethikdiskurse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,56,114,0,0
5,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,114,0,0
6,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,114,0,0
7,interkulturellen,0.0,0,0,16,0,0,0,0,0,0,0,0,8,2,114,0,0
8,Kommunikation,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,114,0,0
9,Aufgrund,0.125,1,0,8,0,0,0,0,0,0,0,0,8,18,163,0,0
10,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,163,0,0
11,Pluralisierung,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,163,0,0
12,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,163,0,0
13,"Gesellschaft,",0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,163,0,0
14,gesteigerter,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,163,0,0
15,Mobilität,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,163,0,0
16,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,163,0,0
17,wachsender,0.0,0,0,10,0,0,0,0,0,0,0,0,8,18,21,0,0
18,Migrationsbewegungen,0.05,1,0,20,0,0,0,0,0,0,0,0,8,5,21,0,0
19,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
20,kulturelle,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
21,Unterschiede,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,21,0,0
22,im­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
23,mer,0.0,0,0,3,0,0,0,0,0,0,0,0,8,18,21,0,0
24,häufiger,0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,21,0,0
25,menschliche,0.0,0,0,11,0,0,0,0,0,0,0,0,8,5,21,0,0
26,Begegnungen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,5,21,0,0
27,bestimmen.,0.0,0,0,10,0,0,0,0,0,0,0,0,8,5,21,0,0
28,Diese,0.2,1,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
29,Unterschiede,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,5,21,0,0
30,werden,0.0,0,0,6,0,0,0,0,0,0,0,0,8,18,21,0,0
31,auch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
