,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Malte,0.2,1,0,5,0,0,0,0,0,0,0,0,9,86,74,0,1
1,Schophaus,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,2,74,0,1
2,und,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,74,0,1
3,Svenja,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,74,0,1
4,Helling,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,74,0,1
5,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,13,95,98,0,1
6,Fremde,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,13,5,98,0,1
7,als,0.0,0,0,3,0,0,0,0,0,0,0,0,13,4,98,0,1
8,Leere,0.2,1,0,5,0,0,0,0,0,0,0,0,13,5,98,0,1
9,Einleitung,0.1,1,0,10,0,0,0,0,0,0,0,0,9,17,150,0,1
10,Wir,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,17,170,0,0
11,schlagen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,170,0,0
12,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,170,0,0
13,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,170,0,0
14,"vor,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,170,0,0
15,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,170,0,0
16,Fremde,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,170,0,0
17,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,170,0,0
18,Andere,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,170,0,0
19,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,170,0,0
20,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,170,0,0
21,räum­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,170,0,0
22,lichen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,17,22,0,0
23,Perspektive,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,22,0,0
24,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,22,0,0
25,"betrachten,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,22,0,0
26,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,22,0,0
27,einige,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,22,0,0
28,ihrer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,22,0,0
29,Kennzeichen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,22,0,0
30,klarer,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,22,0,0
31,sicht­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,22,0,0
32,bar,0.0,0,0,3,0,0,0,0,0,0,0,0,8,17,22,0,0
33,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,22,0,0
34,greifbarer,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,22,0,0
35,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,22,0,0
36,machen.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,22,0,0
37,Angeregt,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,22,0,0
38,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,22,0,0
39,Überlegungen,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,2,22,0,0
40,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,22,0,0
41,Architektur,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,22,0,0
42,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,17,21,0,0
43,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
44,Leere!,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
45,wollen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
46,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
47,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
48,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
49,Metapher,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
50,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
51,Raums,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
52,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
53,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
54,räum­,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
55,lichen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,17,22,0,0
56,Leere,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,22,0,0
57,nutzbar,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,22,0,0
58,"machen,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,22,0,0
59,um,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,22,0,0
60,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,22,0,0
61,diesem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,22,0,0
62,Weg,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,22,0,0
63,neue,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,22,0,0
64,Möglichkeitsräume,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,8,2,22,1,0
65,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,17,22,0,0
66,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
