,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Martina,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,128,75,0,1
1,Tißberger,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,1,75,0,1
2,Über,0.25,1,0,4,0,0,0,0,0,0,0,0,12,39,98,0,1
3,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,4,98,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,98,0,1
5,andere,0.0,0,0,6,0,0,0,0,0,0,0,0,12,5,98,0,1
6,Ent-fremd-ete,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,5,98,0,1
7,Übersicht,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,9,29,160,0,1
8,In,0.5,1,0,2,0,0,0,0,0,0,0,0,8,18,180,0,0
9,Texten,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,180,0,0
10,europäischer,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,180,0,0
11,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,180,0,0
12,angloamerikanischer,0.0,0,0,19,0,0,0,0,0,0,0,0,8,4,180,0,0
13,AutorInnen,0.2,1,0,10,0,0,0,0,0,0,0,0,8,4,180,0,0
14,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,180,0,0
15,Sozial­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,180,0,0
16,oder,0.0,0,0,4,0,0,0,0,0,0,0,0,8,18,21,0,0
17,Literaturwissenschaften,0.043478260869565216,1,0,23,0,0,0,0,0,0,0,0,8,3,21,0,0
18,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
19,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
20,"Psychologie,",0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
21,wird,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
22,»das,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
23,Fremde«,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
24,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,6,21,0,0
25,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,18,22,0,0
26,Regel,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,22,0,0
27,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
28,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,22,0,0
29,Perspektive,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,2,22,0,0
30,"diskutiert,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,2,22,0,0
31,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,22,0,0
32,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,1,0
33,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,1,22,0,0
34,vermeintlich,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,22,0,0
35,»Frem­,0.16666666666666666,0,0,6,0,0,0,0,0,0,0,0,8,3,22,0,0
36,de«,0.0,0,0,3,0,0,0,0,0,0,0,0,8,18,22,0,0
37,blickt.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,22,0,0
38,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,2,22,0,0
39,Fremde,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,22,0,0
40,interessiert,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,22,0,0
41,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,22,0,0
42,seinem,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,22,0,0
43,Nutzen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,22,0,0
44,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,22,0,0
45,seiner,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,22,0,0
46,Bedeutung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,2,22,0,0
47,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,18,21,0,0
48,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
49,"»Eigene«,",0.1111111111111111,0,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
50,dessen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
51,Standpunkt,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
52,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
53,verlassen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
54,wird.,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
55,Selten,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
56,sind,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
57,Be­,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
58,mühungen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,18,21,0,0
59,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
60,"erkennen,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
61,aus,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
62,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
63,Perspektive,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
64,derer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
65,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
66,"denken,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
67,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
68,zum,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
69,Objekt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,18,21,0,0
70,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
71,ent-fremd-enden,0.0,0,0,15,0,0,0,0,0,0,0,0,8,4,21,0,0
72,Blicke,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,5,21,0,0
73,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
74,Ein,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,5,21,0,0
75,"Vorgang,",0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
76,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
77,erheb­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
78,liches,0.0,0,0,6,0,0,0,0,0,0,0,0,8,18,21,0,0
79,Leiden,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
80,"verursacht,",0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
81,denn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
82,fremd,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
83,sein,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
84,bedeutet,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
85,jenseits,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
