,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Ruth,0.25,1,0,4,0,0,0,0,0,0,0,0,9,139,74,0,1
1,Wa/deck,0.14285714285714285,1,0,7,0,1,0,0,0,0,0,0,9,2,74,0,1
2,Zur,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,30,98,0,1
3,Entstehung,0.1,1,0,10,0,0,0,0,0,0,0,0,12,4,98,0,1
4,von,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,98,0,1
5,Fremdenfeindlichkeit,0.05,1,0,20,0,0,0,0,0,0,0,0,12,5,98,0,1
6,Ethnopsychoanalytische,0.045454545454545456,1,0,22,0,0,0,0,0,0,0,0,7,79,114,0,1
7,Deutu,0.2,1,0,5,0,0,0,0,0,0,0,0,7,3,114,0,1
8,ngsmuster,0.0,0,0,9,0,0,0,0,0,0,0,0,7,1,114,0,1
9,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,19,164,0,0
10,Psychoanalyse,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,3,164,0,0
11,hat,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,164,0,0
12,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,164,0,0
13,seit,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,164,0,0
14,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,164,0,0
15,Anfängen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,164,0,0
16,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,164,0,0
17,fremde,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,164,0,0
18,Kulturen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,164,0,0
19,inter­,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,164,0,0
20,essiert,0.0,0,0,7,0,0,0,0,0,0,0,0,8,18,21,0,0
21,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
22,Berichte,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
23,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
24,Ethnologen,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
25,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
26,fremde,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
27,Bräuche,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
28,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
29,Rituale,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
30,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
31,Neugier,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,19,21,0,0
32,aufgenommen.,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
33,Denn,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
34,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
35,Studium,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
36,fremder,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
37,Gesellschaften,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,4,21,0,0
38,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
39,sehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,18,21,0,0
40,hilfreich,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
41,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
42,anregend,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
43,dafür,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
44,"sein,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
45,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
46,Blick,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
47,für,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
48,Phänomene,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
49,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
