,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Hans-Joachim,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,8,146,85,0,1
1,Busch,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,85,0,1
2,Subjektivität,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,70,108,0,1
3,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,108,0,1
4,Gesellschaft,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,5,108,0,1
5,heute.,0.0,0,0,6,0,0,0,0,0,0,0,0,12,4,108,0,1
6,Ansatzpu,0.125,1,0,8,0,0,0,0,0,0,0,0,12,80,27,0,1
7,nkte,0.0,0,0,4,0,0,0,0,0,0,0,0,12,2,27,0,1
8,psychoanalytischer,0.0,0,0,18,0,0,0,0,0,0,0,0,12,5,27,0,1
9,Sozialpsychologie,0.058823529411764705,1,0,17,0,0,0,0,0,0,0,0,12,131,27,0,1
10,Vor,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,41,189,0,0
11,nunmehr,0.0,0,0,7,0,0,0,0,0,0,0,0,8,2,189,0,0
12,13,0.0,0,0,2,2,0,0,0,0,0,0,1,8,3,189,0,0
13,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,189,0,0
14,erschien,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,189,0,0
15,posthum,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,189,0,0
16,ein,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,189,0,0
17,letzter,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,189,0,0
18,wichtiger,0.0,0,0,9,0,0,0,0,0,0,0,0,8,2,189,0,0
19,Aufsatz,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,2,189,0,0
20,des,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,189,0,0
21,1985,0.0,0,0,4,4,0,0,0,0,0,1,1,8,42,21,0,0
22,verstorbenen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
23,Klaus,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
24,Horn,0.25,1,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
25,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
26,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
27,Titel,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
28,»Subjektivität,0.07142857142857142,0,0,14,0,0,0,0,0,0,0,0,8,4,21,0,0
29,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
30,Gesell­,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
31,schaft.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,41,21,0,0
32,Entwicklung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
33,eines,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
34,neuen,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
35,Persönlichkeitstyps?,0.05,1,0,20,0,0,0,0,0,0,0,0,8,3,21,0,0
36,«,0.0,0,0,1,0,0,0,0,0,0,0,0,5,1,21,0,0
37,Ich,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
38,möchte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
39,das,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
40,dort,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
41,angeschnittene,0.0,0,0,14,0,0,0,0,0,0,0,0,8,41,21,0,0
42,Thema,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
43,hier,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
44,wieder,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
45,aufgreifen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
46,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
47,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
48,Möglichkeiten,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
49,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
50,Anknüpfung,0.1,1,0,10,0,0,0,0,0,0,0,0,8,41,21,0,0
51,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,21,0,0
52,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
53,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
54,Fortsetzung,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
55,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
56,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
57,Horn,0.25,1,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
58,angestellten,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
