,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Manfred,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,153,87,0,0
1,Kappe/er,0.125,1,0,8,0,1,0,0,0,0,0,0,8,2,87,0,0
2,"Gesellschaftskritik,",0.05,1,0,20,0,0,0,0,0,0,0,0,12,84,110,0,1
3,Biografie,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,12,5,110,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,110,0,1
5,Zeitgeschichte,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,145,27,0,1
6,Fünfundzwanzig,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,8,43,176,0,0
7,"Jahre,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,176,0,0
8,hundert,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,176,0,0
9,Hefte,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,176,0,0
10,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,176,0,0
11,nur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,5,176,0,0
12,wenige,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,176,0,0
13,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,176,0,0
14,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,176,0,0
15,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,176,0,0
16,siebziger,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,176,0,0
17,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,42,21,0,0
18,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
19,revolutionärer,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
20,Absicht,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
21,gegründeten,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
22,Periodika,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
