,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Eri,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,9,175,85,0,1
1,Park,0.25,1,0,4,0,0,0,0,0,0,0,0,9,2,85,0,1
2,Postcolonial,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,12,108,107,0,1
3,Critique,0.125,1,0,8,0,0,0,0,0,0,0,0,12,5,107,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,107,0,1
5,Identitätskonstrukte,0.05,1,0,20,0,0,0,0,0,0,0,0,12,63,28,0,1
6,in,0.0,0,0,2,0,0,0,0,0,0,0,0,12,4,28,0,1
7,der,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,28,0,1
8,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,4,28,0,1
9,There,0.2,1,0,5,0,0,0,0,0,0,0,0,8,59,173,0,0
10,is,0.0,0,0,2,0,0,0,0,0,0,0,0,8,2,173,0,0
11,a,0.0,0,0,1,0,0,0,0,0,0,0,0,8,2,173,0,0
12,direct,0.0,0,0,6,0,0,0,0,0,0,0,0,8,2,173,0,0
13,relationship,0.0,0,0,12,0,0,0,0,0,0,0,0,8,2,173,0,0
14,between,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,173,0,0
15,>experience<,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,173,0,0
16,and,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
17,>worldview<,0.0,0,0,11,0,0,0,0,0,0,0,0,8,3,173,0,0
18,or,0.0,0,0,2,0,0,0,0,0,0,0,0,8,59,21,0,0
19,>standpoint<,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
20,such,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
21,that,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
22,any,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
23,system,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
24,of,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
25,domination,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
26,can,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
27,be,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
28,seen,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
29,most,0.0,0,0,4,0,0,0,0,0,0,0,0,8,59,21,0,0
30,clearly,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
31,from,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
