,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Ernst,0.2,1,0,5,0,0,0,0,0,0,0,0,8,166,85,0,1
1,Plaum,0.2,1,0,5,0,0,0,0,0,0,0,0,8,2,85,0,1
2,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,74,107,0,1
3,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,107,0,1
4,Gesellschaftskritik:,0.05,1,0,20,0,0,1,0,0,0,0,0,12,5,107,0,1
5,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,12,122,27,0,1
6,Stellungsnahme,0.07142857142857142,1,0,14,0,0,0,0,0,0,0,0,12,5,27,0,1
7,Als,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,42,173,0,0
8,"jemand,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,173,0,0
9,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,173,0,0
10,gelegentlich,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,173,0,0
11,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,173,0,0
12,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,173,1,0
13,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,173,1,0
14,Gesellschaftskritik,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,4,173,1,0
15,pub­,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,173,0,0
16,liziert,0.0,0,0,7,0,0,0,0,0,0,0,0,8,42,21,0,0
17,"hat,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
18,antworte,0.0,0,0,8,0,0,0,0,0,0,0,0,8,2,21,0,0
19,ich,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
20,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
21,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
22,Anfrage,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
23,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
24,Herausgeber/-innen,0.05555555555555555,1,0,18,0,1,0,0,0,0,0,0,8,2,21,0,0
25,nach,0.0,0,0,4,0,0,0,0,0,0,0,0,8,2,21,0,0
26,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
27,Stellungnahme,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,42,21,0,0
28,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
29,dem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
30,durch,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
31,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
32,Titel,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
33,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
34,Zeitschrift,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
35,gegebenen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
