,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Günter,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,159,86,1,1
1,Rexilius,0.125,1,0,8,0,0,0,0,0,0,0,0,8,2,86,1,1
2,Das,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,12,90,109,0,1
3,Persönliche,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,12,5,109,0,1
4,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,12,4,109,0,1
5,politisch,0.0,0,0,9,0,0,0,0,0,0,0,0,12,4,109,0,1
6,ist,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,109,0,1
7,psychologisch,0.0,0,0,13,0,0,0,0,0,0,0,0,12,146,27,0,1
8,Hat,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,43,175,0,0
9,kritische,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,175,0,0
10,Psychologie,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,175,0,0
11,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,175,0,0
12,etwas,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,175,0,0
13,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,175,0,0
14,sagen?,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,175,0,0
15,Wenn,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,175,0,0
16,"ja,",0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,175,0,0
17,"was,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,175,0,0
18,"wie,",0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,175,0,0
19,wozu,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,175,0,0
20,könnte,0.0,0,0,6,0,0,0,0,0,0,0,0,8,43,21,0,0
21,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
22,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
23,äußern?,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
24,Oder,0.25,1,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
25,gönnen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
26,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
27,ihr,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
28,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
29,"Tiefschlaf,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
30,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
31,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
32,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
33,ge­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,21,0,0
34,fallen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,43,21,0,0
35,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
36,sein,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
37,scheint?,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
38,Müssen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
39,wir,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
