,Word,Cap letters,Starts cap,Line number,Len Word,Count num,Count slash,Count com,Is Alt,Is email,Is link,Is Year,Is date,Font size,Horizontal space,Vertical space,Is Italic,Is Bold
0,Christina,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,143,86,0,0
1,Thürmer-Rohr,0.16666666666666666,1,0,12,0,0,0,0,0,0,0,0,8,1,86,0,0
2,Totalitäre,0.1,1,0,10,0,0,0,0,0,0,0,0,12,109,108,0,1
3,Konstrukte,0.1,1,0,10,0,0,0,0,0,0,0,0,12,5,108,0,1
4,und,0.0,0,0,3,0,0,0,0,0,0,0,0,12,5,108,0,1
5,unheilbare,0.0,0,0,10,0,0,0,0,0,0,0,0,12,70,28,0,1
6,Pluralität,0.1,1,0,10,0,0,0,0,0,0,0,0,12,5,28,0,1
7,-,0.0,0,0,1,0,0,0,0,0,0,0,0,12,3,28,0,1
8,Entwicklungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,12,7,28,0,1
9,feministischer,0.0,0,0,14,0,0,0,0,0,0,0,0,12,127,28,0,1
10,Kritik,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,12,5,28,0,1
11,Feministische,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,8,44,190,0,0
12,Kritik,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,190,0,0
13,bewegt,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,190,0,0
14,sich,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,190,0,0
15,momentan,0.0,0,0,8,0,0,0,0,0,0,0,0,8,3,190,0,0
16,auf,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,190,0,0
17,einem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,190,0,0
18,brüchigen,0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,190,0,0
19,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,190,0,0
20,ei­,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,190,0,0
21,nem,0.0,0,0,3,0,0,0,0,0,0,0,0,8,43,21,0,0
22,hochdynamischen,0.0,0,0,15,0,0,0,0,0,0,0,0,8,3,21,0,0
23,Feld.,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
24,Und,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
25,wenn,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
26,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
27,"stimmt,",0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
28,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
29,Verunsicherungen,0.0625,1,0,16,0,0,0,0,0,0,0,0,8,3,21,0,0
30,jedem,0.0,0,0,5,0,0,0,0,0,0,0,0,8,44,21,0,0
31,Lernen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
32,vorausgesetzt,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
33,"sind,",0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
34,dann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
35,müssten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
36,heute,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
37,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
38,Lernchancen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
39,so,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
40,groß,0.0,0,0,4,0,0,0,0,0,0,0,0,8,43,21,0,0
41,sein,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
42,wie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
43,noch,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
44,nie.,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
45,Jedenfalls,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
46,kann,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
47,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
48,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
49,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
50,feministischen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
51,Kritik,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,43,21,0,0
52,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
53,ihren,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
54,unterschiedlichen,0.0,0,0,17,0,0,0,0,0,0,0,0,8,4,21,0,0
55,Akteurinnen,0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
56,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
57,wechselnden,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
58,Frage­,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
59,stellungen,0.0,0,0,10,0,0,0,0,0,0,0,0,8,43,21,0,0
60,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
61,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
62,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,1,0
63,Geschichte,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
64,erzählt,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
65,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
66,Den,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,21,1,0
67,Feminismus,0.1,1,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
68,gibt,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
69,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,43,21,0,0
70,"nicht,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
71,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
72,über,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
73,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
74,"Fragen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
75,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
76,dieser,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
77,Beitrag,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
78,"aufwirft,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
79,gibt,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
80,es,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
81,keinen,0.0,0,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
82,Konsens.,0.125,1,0,8,0,0,0,0,0,0,0,0,8,43,21,0,0
83,Im,0.5,1,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
84,folgenden,0.0,0,0,9,0,0,0,0,0,0,0,0,8,5,21,0,0
85,soll,0.0,0,0,4,0,0,0,0,0,0,0,0,8,5,21,0,0
86,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
87,Problementwicklung,0.05555555555555555,1,0,18,0,0,0,0,0,0,0,0,8,4,21,0,0
88,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
89,letzten,0.0,0,0,7,0,0,0,0,0,0,0,0,8,5,21,0,0
90,dreißig,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
91,Jahre,0.2,1,0,5,0,0,0,0,0,0,0,0,8,43,21,0,0
92,exemplarisch,0.0,0,0,12,0,0,0,0,0,0,0,0,8,4,21,0,0
93,an,0.0,0,0,2,0,0,0,0,0,0,0,0,8,4,21,0,0
94,Diskursen,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
95,zur,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
96,Gewalt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,4,21,0,0
97,beschrieben,0.0,0,0,11,0,0,0,0,0,0,0,0,8,4,21,0,0
98,werden.,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
99,Diese,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
100,haben,0.0,0,0,5,0,0,0,0,0,0,0,0,8,43,21,0,0
101,einander,0.0,0,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
102,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
103,einfach,0.0,0,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
104,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,5,21,0,0
105,chronologischer,0.0,0,0,15,0,0,0,0,0,0,0,0,8,4,21,0,0
106,Abfolge,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
107,"abgelöst,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
108,also,0.0,0,0,4,0,0,0,0,0,0,0,0,8,4,21,0,0
109,"überholt,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,43,21,0,0
110,sondern,0.0,0,0,7,0,0,0,0,0,0,0,0,8,3,21,0,0
111,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
112,existieren,0.0,0,0,10,0,0,0,0,0,0,0,0,8,3,21,0,0
113,nebeneinander,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,21,0,0
114,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
115,"gegeneinander,",0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
116,oft,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
117,im,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,21,0,0
118,gleichen,0.0,0,0,8,0,0,0,0,0,0,0,0,8,43,21,0,0
119,Kopf.,0.2,1,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
120,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
121,Bewertung,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
122,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
123,verschiedenen,0.0,0,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
124,Anläufe,0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,8,4,21,0,0
125,liegt,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
126,heute,0.0,0,0,5,0,0,0,0,0,0,0,0,8,4,21,0,0
127,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
128,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,43,21,0,0
129,"Individuen,",0.09090909090909091,1,0,11,0,0,0,0,0,0,0,0,8,3,21,0,0
130,nicht,0.0,0,0,5,0,0,0,0,0,0,0,0,8,3,21,0,0
131,mehr,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
132,bei,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
133,einer,0.0,0,0,5,0,0,0,0,0,0,0,0,8,2,21,0,0
134,tonangebenden,0.0,0,0,13,0,0,0,0,0,0,0,0,8,2,21,0,0
135,Bewegung.,0.1111111111111111,1,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
136,Gewalt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,43,381,0,0
137,an,0.0,0,0,2,0,0,0,0,0,0,0,0,9,2,381,0,0
138,"Frauen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,381,0,0
139,Gewalt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,381,0,0
140,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,381,0,0
141,"Frauen,",0.14285714285714285,1,0,7,0,0,0,0,0,0,0,0,9,3,381,0,0
142,Gewalt,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,381,0,0
143,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,381,0,0
144,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,381,0,0
145,­,0.0,0,0,1,0,0,0,0,0,0,0,0,9,3,381,0,0
146,Entwicklungen,0.07692307692307693,1,0,13,0,0,0,0,0,0,0,0,9,43,22,0,0
147,feministischer,0.0,0,0,14,0,0,0,0,0,0,0,0,9,3,22,0,0
148,Kritik,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,3,22,0,0
149,von,0.0,0,0,3,0,0,0,0,0,0,0,0,9,2,22,0,0
150,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
151,sechziger,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,22,0,0
152,bis,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
153,zu,0.0,0,0,2,0,0,0,0,0,0,0,0,9,43,22,0,0
154,den,0.0,0,0,3,0,0,0,0,0,0,0,0,9,3,22,0,0
155,neunziger,0.0,0,0,9,0,0,0,0,0,0,0,0,9,3,22,0,0
156,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,9,2,22,0,0
157,1.,0.0,0,0,2,1,0,0,0,0,0,0,1,8,43,433,1,0
158,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,433,1,0
159,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,433,1,0
160,Opfer,0.2,1,0,5,0,0,0,0,0,0,0,0,8,3,433,1,0
161,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,2,433,1,0
162,Gewaltverhältnissen,0.05263157894736842,1,0,19,0,0,0,0,0,0,0,0,8,3,433,1,0
163,Die,0.3333333333333333,1,0,3,0,0,0,0,0,0,0,0,8,43,453,0,0
164,feministische,0.0,0,0,13,0,0,0,0,0,0,0,0,8,3,453,0,0
165,Bewegung,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,453,0,0
166,begann,0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,453,0,0
167,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,3,453,0,0
168,den,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,453,0,0
169,sechziger/siebziger,0.0,0,0,19,0,1,0,0,0,0,0,0,8,3,453,0,0
170,Jahren,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,2,453,0,0
171,mit,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,453,0,0
172,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,43,21,0,0
173,"These,",0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
174,dass,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
175,Frauen,0.16666666666666666,1,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
176,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,21,0,0
177,jenseits,0.0,0,0,8,0,0,0,0,0,0,0,0,8,5,21,0,0
178,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
179,Biologie,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
180,-,0.0,0,0,1,0,0,0,0,0,0,0,0,8,3,21,0,0
181,etwas,0.0,0,0,5,0,0,0,0,0,0,0,0,8,5,21,0,0
182,gemeinsam,0.0,0,0,9,0,0,0,0,0,0,0,0,8,3,21,0,0
183,"haben,",0.0,0,0,6,0,0,0,0,0,0,0,0,8,3,21,0,0
184,nämlich,0.0,0,0,7,0,0,0,0,0,0,0,0,8,43,21,0,0
185,eine,0.0,0,0,4,0,0,0,0,0,0,0,0,8,3,21,0,0
186,gewaltsame,0.0,0,0,10,0,0,0,0,0,0,0,0,8,2,21,0,0
187,Schädigungs-,0.08333333333333333,1,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
188,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
189,"Ausschluss-Geschichte,",0.09090909090909091,1,0,22,0,0,0,0,0,0,0,0,8,3,21,0,0
190,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
191,sie,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
192,in,0.0,0,0,2,0,0,0,0,0,0,0,0,8,43,21,0,0
193,die,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
194,Randständigkeit,0.06666666666666667,1,0,15,0,0,0,0,0,0,0,0,8,4,21,0,0
195,"gedrängt,",0.0,0,0,9,0,0,0,0,0,0,0,0,8,4,21,0,0
196,als,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
197,minderwertige,0.0,0,0,13,0,0,0,0,0,0,0,0,8,4,21,0,0
198,Menschen,0.125,1,0,8,0,0,0,0,0,0,0,0,8,4,21,0,0
199,"definiert,",0.0,0,0,10,0,0,0,0,0,0,0,0,8,4,21,0,0
200,von,0.0,0,0,3,0,0,0,0,0,0,0,0,8,43,21,0,0
201,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
202,öffentlichen,0.0,0,0,12,0,0,0,0,0,0,0,0,8,3,21,0,0
203,Teilhabe,0.125,1,0,8,0,0,0,0,0,0,0,0,8,3,21,0,0
204,ausgeschlossen,0.0,0,0,14,0,0,0,0,0,0,0,0,8,3,21,0,0
205,und,0.0,0,0,3,0,0,0,0,0,0,0,0,8,4,21,0,0
206,der,0.0,0,0,3,0,0,0,0,0,0,0,0,8,3,21,0,0
